MIDL 32Re Data for 1998-08 (GSM nT, km/s, cm^-3, K)
yr mo dy hr mn sc msc bx by bz ux uy uz rho T B_interp Ux_interp Uyz_interp rho_interp T_interp
#START
1998  8  1 19  6  0    0     0.37    -9.86     0.34    -437.0     -7.78    -26.00     6.771      16693    0    0    0    0    0
1998  8  1 19  7  0    0     0.39    -9.88     0.36    -437.0     -8.94    -27.93     6.220      17380    0    0    0    0    0
1998  8  1 19  8  0    0     0.40    -9.88     0.43    -435.7     -9.13    -29.78     6.168      17588    0    0    0    0    0
1998  8  1 19  9  0    0     0.50    -9.89     0.47    -435.0     -9.13    -30.53     5.934      17527    0    0    0    0    0
1998  8  1 19 10  0    0     0.62    -9.92     0.43    -435.5     -9.47    -30.46     5.695      17309    0    0    0    0    0
1998  8  1 19 11  0    0     0.84    -9.94    -0.34    -435.9    -10.16    -30.11     5.128      17261    0    0    0    0    0
1998  8  1 19 12  0    0     1.01    -9.95    -0.88    -436.1    -10.41    -29.61     4.736      17261    0    0    0    0    0
1998  8  1 19 13  0    0     1.19    -9.88    -1.01    -436.6    -10.41    -27.31     4.993      18138    0    0    0    0    0
1998  8  1 19 14  0    0     1.47    -9.79    -1.36    -436.2    -10.46    -28.91     5.905      19287    0    0    0    0    0
1998  8  1 19 15  0    0     1.57    -9.77    -1.50    -435.3    -10.53    -29.58     5.743      23256    0    0    0    0    0
1998  8  1 19 16  0    0     1.46    -9.85    -1.50    -434.4    -10.59    -29.31     5.557      25776    0    0    0    0    0
1998  8  1 19 17  0    0     1.21   -10.00    -1.42    -433.9    -10.63    -28.65     5.750      25284    0    0    0    0    0
1998  8  1 19 18  0    0     1.04   -10.09    -1.22    -434.1    -10.98    -27.73     5.800      24510    0    0    0    0    0
1998  8  1 19 19  0    0     1.30   -10.07     0.10    -435.7     -8.21    -28.03     6.100      24390    0    0    0    0    0
1998  8  1 19 20  0    0     1.80    -9.88     1.07    -437.9     -5.59    -28.20     7.755      24394    0    0    0    0    0
1998  8  1 19 21  0    0     1.85    -9.79     1.12    -438.1     -1.89    -28.20     8.389      24388    0    0    0    0    0
1998  8  1 19 22  0    0     1.72    -9.73     1.46    -438.1     -0.44    -29.06     8.522      24394    0    0    0    0    0
1998  8  1 19 23  0    0     1.71    -9.56     1.71    -438.1      0.12    -29.15     9.679      24388    0    0    0    0    0
1998  8  1 19 24  0    0     1.71    -9.44     1.97    -438.1      1.32    -30.12     9.876      24175    0    0    0    0    0
1998  8  1 19 25  0    0     1.71    -9.29     2.60    -438.9      2.32    -31.83     9.885      23395    0    0    0    0    0
1998  8  1 19 26  0    0     1.70    -9.29     2.61    -439.3      1.49    -33.91     9.948      21627    0    0    0    0    0
1998  8  1 19 27  0    0     1.69    -9.27     2.74    -439.7      1.40    -36.66    11.083      20821    0    0    0    0    0
1998  8  1 19 28  0    0     1.37    -9.46     2.21    -439.8      0.54    -37.09    11.077      20821    0    0    0    0    0
1998  8  1 19 29  0    0    -0.35    -9.65     0.45    -439.7     -1.05    -36.75    10.896      20915    0    0    0    0    0
1998  8  1 19 30  0    0    -0.62    -9.90     0.45    -439.1     -8.99    -33.32     9.641      21850    0    0    0    0    0
1998  8  1 19 31  0    0    -0.62    -9.90     0.68    -437.9     -8.99    -28.95     9.305      22694    0    0    0    0    0
1998  8  1 19 32  0    0    -0.59    -9.58     2.14    -437.8     -4.21    -28.37     9.260      22806    0    0    0    0    0
1998  8  1 19 33  0    0    -0.59    -9.43     2.36    -437.8     -0.06    -29.53    10.272      20932    0    0    0    0    0
1998  8  1 19 34  0    0    -0.78    -9.42     2.14    -437.8      2.10    -29.69    10.847      20680    0    0    0    0    0
1998  8  1 19 35  0    0    -0.80    -9.45     1.91    -437.9      2.15    -26.33    11.833      20680    0    0    0    0    0
1998  8  1 19 36  0    0    -0.17    -9.52     1.88    -437.9      2.30    -25.21    11.955      20513    0    0    0    0    0
1998  8  1 19 37  0    0     0.39    -9.54     2.37    -437.9      5.24    -25.12    10.722      17271    0    0    0    0    0
1998  8  1 19 38  0    0     0.47    -9.54     2.52    -437.4      5.62    -25.12    10.559      16157    0    0    0    0    0
1998  8  1 19 39  0    0     0.59    -9.43     2.61    -437.3      5.51    -24.89    10.657      16694    0    0    0    0    0
1998  8  1 19 40  0    0     1.34    -9.02     3.02    -439.8      2.12    -23.61    13.527      16884    0    0    0    0    0
1998  8  1 19 41  0    0     1.33    -8.98     3.01    -439.7      1.94    -23.75    13.684      17369    0    0    0    0    0
1998  8  1 19 42  0    0     1.21    -8.90     2.90    -438.3      2.13    -24.90    14.247      19049    0    0    0    0    0
1998  8  1 19 43  0    0     1.18    -8.89     2.89    -438.1      2.45    -28.24    14.294      19189    0    0    0    0    0
1998  8  1 19 44  0    0     0.99    -8.96     2.95    -437.8      2.93    -28.59    13.465      18693    0    0    0    0    0
1998  8  1 19 45  0    0     0.96    -9.00     2.96    -437.5      3.11    -28.44    13.344      16785    0    0    0    0    0
1998  8  1 19 46  0    0     0.99    -9.00     2.96    -436.0      3.13    -28.09    13.342      16352    0    0    0    0    0
1998  8  1 19 47  0    0     1.40    -8.94     3.16    -435.2      2.92    -27.66    13.342      16308    0    0    0    0    0
1998  8  1 19 48  0    0     1.95    -8.75     3.59    -434.9     -0.83    -26.64    12.588      18397    0    0    0    0    0
1998  8  1 19 49  0    0     2.17    -8.57     4.06    -437.0     -4.62    -23.39    10.567      20240    0    0    0    0    0
1998  8  1 19 50  0    0     1.61    -8.61     4.13    -438.1     -4.07    -22.63    10.160      20986    0    0    0    0    0
1998  8  1 19 51  0    0    -0.17    -8.64     4.05    -438.1      1.19    -25.10    12.313      20309    0    0    0    0    0
1998  8  1 19 52  0    0    -0.33    -8.64     3.98    -435.2      1.66    -25.84    12.953      20182    0    0    0    0    0
1998  8  1 19 53  0    0    -0.31    -8.63     3.96    -432.8      1.35    -25.98    13.076      19841    0    0    0    0    0
1998  8  1 19 54  0    0    -0.05    -8.59     4.05    -432.8      0.24    -25.04    12.268      19390    0    0    0    0    0
1998  8  1 19 55  0    0     0.60    -8.58     4.11    -432.9     -0.76    -23.94    11.603      20136    0    0    0    0    0
1998  8  1 19 56  0    0     0.86    -8.58     4.18    -433.0     -1.56    -23.01    11.530      20502    0    0    0    0    0
1998  8  1 19 57  0    0     0.98    -8.57     4.19    -431.9     -2.90    -22.87    11.330      21366    0    0    0    0    0
1998  8  1 19 58  0    0     1.04    -8.53     4.24    -428.5     -4.73    -22.44    10.299      21600    0    0    0    0    0
1998  8  1 19 59  0    0     1.71    -8.48     4.28    -427.2     -5.46    -22.27     8.554      21694    0    0    0    0    0
1998  8  1 20  0  0    0     2.93    -8.29     4.30    -427.5     -2.68    -22.27     7.200      21481    0    0    0    0    0
1998  8  1 20  1  0    0     3.37    -8.11     4.38    -427.7     -1.13    -23.00     6.941      21363    0    0    0    0    0
1998  8  1 20  2  0    0     3.20    -8.03     4.66    -427.4     -1.22    -23.36     6.951      21363    0    0    0    0    0
1998  8  1 20  3  0    0     2.95    -7.86     4.97    -426.9     -1.44    -22.94     7.413      21965    0    0    0    0    0
1998  8  1 20  4  0    0     2.51    -7.67     5.15    -426.6     -4.39    -21.38     8.820      22433    0    0    0    0    0
1998  8  1 20  5  0    0     2.16    -7.60     5.21    -427.3     -6.86    -20.23    11.571      22433    0    0    0    0    0
1998  8  1 20  6  0    0     0.40    -7.66     4.92    -427.8     -4.22    -19.04    13.360      21757    0    0    0    0    0
1998  8  1 20  7  0    0    -2.19    -7.74     3.76    -426.9     -2.90    -17.42    13.683      21419    0    0    0    0    0
1998  8  1 20  8  0    0    -4.04    -7.77     2.99    -426.3     -4.57    -16.63    11.909      30452    0    0    0    0    0
1998  8  1 20  9  0    0    -4.60    -7.81     2.97    -428.9     -6.46    -17.72     9.282      39486    0    0    0    0    0
1998  8  1 20 10  0    0    -4.21    -7.82     3.24    -429.8     -6.51    -18.15     9.083      39486    0    0    0    0    0
1998  8  1 20 11  0    0    -3.91    -7.64     3.48    -429.8     -6.49    -20.02    13.654      36129    0    0    0    0    0
1998  8  1 20 12  0    0    -3.89    -7.13     4.13    -430.0     -6.26    -22.38    14.158      31031    0    0    0    0    0
1998  8  1 20 13  0    0    -3.65    -6.84     4.66    -431.0     -5.79    -22.59    15.305      25707    0    0    0    0    0
1998  8  1 20 14  0    0    -3.37    -6.59     4.79    -431.8     -6.33    -23.33    16.773      23151    0    0    0    0    0
1998  8  1 20 15  0    0    -3.16    -5.91     5.37    -434.0     -9.03    -23.49    20.025      20656    0    0    0    0    0
1998  8  1 20 16  0    0    -2.96    -5.93     5.47    -434.1     -8.21    -23.83    19.682      19987    0    0    0    0    0
1998  8  1 20 17  0    0    -2.97    -5.95     5.70    -433.9     -6.36    -24.36    18.908      19889    0    0    0    0    0
1998  8  1 20 18  0    0    -3.00    -5.82     6.04    -433.4     -4.76    -24.77    17.569      20549    0    0    0    0    0
1998  8  1 20 19  0    0    -3.04    -5.46     6.47    -433.1     -3.65    -24.38    15.634      21726    0    0    0    0    0
1998  8  1 20 20  0    0    -3.05    -5.00     7.06    -433.4     -3.12    -23.01    14.394      21713    0    0    0    0    0
1998  8  1 20 21  0    0    -3.00    -4.64     7.60    -435.6     -2.65    -21.64    13.032      20259    0    0    0    0    0
1998  8  1 20 22  0    0    -2.81    -4.55     7.69    -436.6     -2.96    -20.91    12.664      19377    0    0    0    0    0
1998  8  1 20 23  0    0    -2.74    -4.03     7.71    -436.6     -3.18    -20.73    13.643      19507    0    0    0    0    0
1998  8  1 20 24  0    0    -2.46    -3.43     7.72    -437.5     -8.65    -20.73    17.416      19554    0    0    0    0    0
1998  8  1 20 25  0    0    -2.32    -2.80     7.72    -437.7     -9.77    -15.46    21.622      19554    0    0    0    0    0
1998  8  1 20 26  0    0    -2.31    -1.51     7.95    -437.1     -2.03    -16.39    22.240      19803    0    0    0    0    0
1998  8  1 20 27  0    0    -2.62    -0.08     8.10    -436.9      2.79    -16.90    18.821      15819    0    0    0    0    0
1998  8  1 20 28  0    0    -2.84     0.25     8.13    -436.9      3.61    -16.90    17.758      16196    0    0    0    0    0
1998  8  1 20 29  0    0    -3.70    -0.91     8.07    -437.3      3.08    -18.53    17.652      14961    0    0    0    0    0
1998  8  1 20 30  0    0    -4.47    -2.41     7.55    -437.8     -2.43    -16.66    17.630      15283    0    0    0    0    0
1998  8  1 20 31  0    0    -4.73    -3.70     7.01    -439.0     -5.49    -16.95    17.848      15380    0    0    0    0    0
1998  8  1 20 32  0    0    -4.72    -4.43     6.55    -439.0     -5.49    -16.96    18.930      15380    0    0    0    0    0
1998  8  1 20 33  0    0    -4.35    -4.49     6.30    -439.0     -5.48    -17.58    19.994      15394    0    0    0    0    0
1998  8  1 20 34  0    0    -4.37    -4.37     6.57    -440.0     -4.89    -17.57    20.147      16156    0    0    0    0    0
1998  8  1 20 35  0    0    -4.48    -3.97     6.68    -439.2     -2.99    -17.53    21.102      16625    0    0    0    0    0
1998  8  1 20 36  0    0    -4.42    -3.97     6.79    -440.6     -2.92    -17.72    20.523      16192    0    0    0    0    0
1998  8  1 20 37  0    0    -4.19    -3.98     6.82    -439.4     -2.62    -18.49    20.523      16613    0    0    0    0    0
1998  8  1 20 38  0    0    -3.95    -4.24     6.75    -440.6     -2.62    -18.18    20.723      16206    0    0    0    0    0
1998  8  1 20 39  0    0    -3.74    -4.91     6.45    -439.3     -2.67    -16.93    21.537      16712    0    0    0    0    0
1998  8  1 20 40  0    0    -3.27    -5.18     6.40    -439.6     -3.63    -16.93    21.612      16602    0    0    0    0    0
1998  8  1 20 41  0    0    -3.30    -5.18     6.39    -439.3     -3.63    -16.96    22.384      16712    0    0    0    0    0
1998  8  1 20 42  0    0    -3.89    -5.26     6.23    -439.3     -3.64    -17.48    20.841      16677    0    0    0    0    0
1998  8  1 20 43  0    0    -3.99    -5.37     6.12    -438.0     -3.87    -17.49    22.277      18401    0    0    0    0    0
