Corrected IMF based on L1.dat
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
2019 08 04 01 37 00   0       1.48       1.81       0.25     351.86       0.00       0.00       5.77     25105.70
2019 08 04 01 38 00   0       1.50       1.86       0.36     352.63       0.00       0.00       5.70     24308.40
2019 08 04 01 39 00   0       1.63       1.88       0.16     352.90       0.00       0.00       5.58     25439.80
2019 08 04 01 40 00   0       1.62       1.87       0.21     352.13       0.00       0.00       5.23     23191.30
2019 08 04 01 41 00   0       1.60       1.83       0.25     353.24       0.00       0.00       5.39     25071.30
2019 08 04 01 42 00   0       1.45       1.80       0.24     354.81       0.00       0.00       6.08     29334.60
2019 08 04 01 43 00   0       1.26       1.83       0.25     352.67       0.00       0.00       6.43     23209.80
2019 08 04 01 44 00   0       1.18       1.87       0.19     352.60       0.00       0.00       6.15     24127.90
2019 08 04 01 45 00   0       1.28       1.83       0.08     353.53       0.00       0.00       6.47     22514.00
2019 08 04 01 46 00   0       1.37       1.81       0.12     352.38       0.00       0.00       5.37     23177.70
2019 08 04 01 47 00   0       1.37       1.73       0.15     342.30       0.00       0.00       2.57     16433.20
2019 08 04 01 48 00   0       1.24       1.84       0.20     358.14       0.00       0.00       7.21     41023.60
2019 08 04 01 49 00   0       1.38       1.63      -0.05     355.06       0.00       0.00       6.42     29053.80
2019 08 04 01 50 00   0       1.24       1.75       0.09     348.35       0.00       0.00       4.67     16431.00
2019 08 04 01 51 00   0       1.33       1.64       0.02     354.84       0.00       0.00       6.84     30838.00
2019 08 04 01 52 00   0       1.28       1.76       0.09     355.35       0.00       0.00       6.42     27869.90
2019 08 04 01 53 00   0       1.53       1.73       0.15     352.87       0.00       0.00       5.53     25951.50
2019 08 04 01 54 00   0       1.48       1.56       0.26     351.90       0.00       0.00       5.26     26075.40
2019 08 04 01 55 00   0       1.41       1.65       0.34     352.03       0.00       0.00       4.74     24118.90
2019 08 04 01 56 00   0       1.57       1.49       0.31     353.04       0.00       0.00       5.38     27947.80
2019 08 04 01 57 00   0       1.67       1.30       0.13     351.83       0.00       0.00       5.55     30302.80
2019 08 04 01 58 00   0       1.79       1.26       0.30     348.42       0.00       0.00       4.84     28331.10
2019 08 04 01 59 00   0       1.88       1.19       0.22     348.28       0.00       0.00       4.69     29547.10
2019 08 04 02 00 00   0       2.27       0.42       0.44     349.04       0.00       0.00       4.26     31039.70
2019 08 04 02 01 00   0       2.36       0.58       0.31     349.64       0.00       0.00       4.32     32809.10
2019 08 04 02 02 00   0       2.31       0.41       0.19     351.65       0.00       0.00       3.65     30696.00
2019 08 04 02 03 00   0       2.26       0.49       0.24     350.50       0.00       0.00       3.68     28704.90
2019 08 04 02 04 00   0       2.34       0.49       0.25     330.10       0.00       0.00       1.72     14587.20
2019 08 04 02 05 00   0       2.33       0.46       0.19     352.97       0.00       0.00       4.11     50871.50
2019 08 04 02 06 00   0       2.28       0.48       0.08     352.55       0.00       0.00       4.05     42763.90
2019 08 04 02 07 00   0       2.31       0.30       0.03     338.23       0.00       0.00       2.49     24574.80
2019 08 04 02 08 00   0       2.17       0.37       0.11     346.19       0.00       0.00       3.81     42115.90
2019 08 04 02 09 00   0       2.17       0.30       0.20     351.97       0.00       0.00       4.35     49209.70
