Downloaded from SuperMag. SMR is renamed to dst_sm. Added msc column so making SmrHourly can work.
year	month	day	hour	min	sec msc	dst_sm
2024	05	10	13	03	0  0	9.8
2024	05	10	13	04	0  0	10.4
2024	05	10	13	05	0  0	11.1
2024	05	10	13	06	0  0	11.6
2024	05	10	13	07	0  0	11.8
2024	05	10	13	08	0  0	12.2
2024	05	10	13	09	0  0	12.5
2024	05	10	13	10	0  0	12.9
2024	05	10	13	11	0  0	13.5
2024	05	10	13	12	0  0	13.8
2024	05	10	13	13	0  0	14.3
2024	05	10	13	14	0  0	14.6
2024	05	10	13	15	0  0	14.8
2024	05	10	13	16	0  0	14.5
2024	05	10	13	17	0  0	13.7
2024	05	10	13	18	0  0	12.6
2024	05	10	13	19	0  0	12.2
2024	05	10	13	20	0  0	11.9
2024	05	10	13	21	0  0	11.5
2024	05	10	13	22	0  0	11.2
2024	05	10	13	23	0  0	11.0
2024	05	10	13	24	0  0	11.1
2024	05	10	13	25	0  0	11.2
2024	05	10	13	26	0  0	11.1
2024	05	10	13	27	0  0	11.2
2024	05	10	13	28	0  0	11.2
2024	05	10	13	29	0  0	11.3
2024	05	10	13	30	0  0	11.6
2024	05	10	13	31	0  0	12.1
2024	05	10	13	32	0  0	12.5
2024	05	10	13	33	0  0	12.8
2024	05	10	13	34	0  0	12.8
2024	05	10	13	35	0  0	13.2
2024	05	10	13	36	0  0	14.1
2024	05	10	13	37	0  0	14.3
2024	05	10	13	38	0  0	14.2
2024	05	10	13	39	0  0	14.0
2024	05	10	13	40	0  0	14.1
2024	05	10	13	41	0  0	14.2
2024	05	10	13	42	0  0	14.4
2024	05	10	13	43	0  0	14.7
2024	05	10	13	44	0  0	15.0
2024	05	10	13	45	0  0	15.1
2024	05	10	13	46	0  0	15.2
2024	05	10	13	47	0  0	15.3
2024	05	10	13	48	0  0	15.5
2024	05	10	13	49	0  0	15.8
2024	05	10	13	50	0  0	15.8
2024	05	10	13	51	0  0	16.1
2024	05	10	13	52	0  0	17.1
2024	05	10	13	53	0  0	19.2
2024	05	10	13	54	0  0	22.1
2024	05	10	13	55	0  0	23.7
2024	05	10	13	56	0  0	24.6
2024	05	10	13	57	0  0	25.0
2024	05	10	13	58	0  0	24.5
2024	05	10	13	59	0  0	23.7
2024	05	10	14	00	0  0	23.2
2024	05	10	14	01	0  0	23.1
2024	05	10	14	02	0  0	23.1
2024	05	10	14	03	0  0	23.1
2024	05	10	14	04	0  0	23.8
2024	05	10	14	05	0  0	24.0
2024	05	10	14	06	0  0	24.1
2024	05	10	14	07	0  0	24.3
2024	05	10	14	08	0  0	24.5
2024	05	10	14	09	0  0	24.6
2024	05	10	14	10	0  0	24.6
