Downloaded from SuperMag. SMR is renamed to dst_sm. All indexes are in nT.
year	month	day	hour	min	sec	SME	SML	SMU	dst_sm
2024	05	10	02	44	00	138	-75	63	23.7
2024	05	10	02	45	00	126	-57	70	24.2
2024	05	10	02	46	00	127	-56	71	24.6
2024	05	10	02	47	00	146	-66	80	25.1
2024	05	10	02	48	00	155	-64	91	25.5
2024	05	10	02	49	00	162	-62	100	24.8
2024	05	10	02	50	00	161	-60	102	24.0
2024	05	10	02	51	00	151	-54	97	23.5
2024	05	10	02	52	00	163	-76	87	22.9
2024	05	10	02	53	00	174	-98	76	22.7
2024	05	10	02	54	00	170	-104	67	22.4
2024	05	10	02	55	00	150	-94	57	22.1
2024	05	10	02	56	00	136	-83	53	22.1
2024	05	10	02	57	00	131	-77	54	22.0
2024	05	10	02	58	00	127	-72	55	22.1
2024	05	10	02	59	00	105	-53	52	22.5
2024	05	10	03	00	00	101	-44	58	23.0
2024	05	10	03	01	00	111	-52	59	23.2
2024	05	10	03	02	00	110	-52	58	23.3
2024	05	10	03	03	00	99	-47	52	23.4
2024	05	10	03	04	00	90	-40	49	23.2
2024	05	10	03	05	00	87	-37	50	23.4
2024	05	10	03	06	00	87	-37	50	23.4
2024	05	10	03	07	00	87	-36	51	23.3
2024	05	10	03	08	00	87	-36	51	24.2
2024	05	10	03	09	00	97	-39	59	26.5
2024	05	10	03	10	00	109	-43	66	29.5
2024	05	10	03	11	00	100	-45	55	32.3
2024	05	10	03	12	00	87	-34	53	33.8
2024	05	10	03	13	00	119	-41	78	34.7
2024	05	10	03	14	00	75	-15	60	35.0
2024	05	10	03	15	00	109	-23	86	38.2
2024	05	10	03	16	00	122	-35	86	40.8
2024	05	10	03	17	00	100	-40	59	41.0
2024	05	10	03	18	00	122	-49	72	41.8
2024	05	10	03	19	00	125	-63	62	40.9
2024	05	10	03	20	00	114	-46	68	40.1
2024	05	10	03	21	00	116	-58	58	39.9
2024	05	10	03	22	00	146	-73	73	38.7
2024	05	10	03	23	00	139	-65	74	37.8
2024	05	10	03	24	00	192	-73	119	36.3
2024	05	10	03	25	00	196	-66	130	35.5
2024	05	10	03	26	00	218	-62	156	35.2
2024	05	10	03	27	00	149	-55	94	37.6
2024	05	10	03	28	00	144	-87	57	40.7
2024	05	10	03	29	00	204	-96	108	41.7
2024	05	10	03	30	00	237	-86	152	42.4
2024	05	10	03	31	00	300	-132	169	43.1
2024	05	10	03	32	00	299	-134	165	43.1
2024	05	10	03	33	00	220	-76	144	41.6
2024	05	10	03	34	00	185	-61	124	39.7
2024	05	10	03	35	00	200	-86	114	37.9
2024	05	10	03	36	00	287	-161	126	37.3
2024	05	10	03	37	00	326	-206	119	36.6
2024	05	10	03	38	00	303	-185	118	35.1
2024	05	10	03	39	00	275	-164	111	35.0
2024	05	10	03	40	00	238	-133	105	35.3
2024	05	10	03	41	00	213	-107	106	34.7
2024	05	10	03	42	00	216	-111	105	34.5
2024	05	10	03	43	00	257	-150	106	34.4
2024	05	10	03	44	00	285	-167	118	33.7
2024	05	10	03	45	00	302	-161	141	32.9
2024	05	10	03	46	00	317	-164	153	32.3
2024	05	10	03	47	00	334	-186	148	32.1
2024	05	10	03	48	00	314	-168	146	32.4
2024	05	10	03	49	00	324	-164	160	32.7
2024	05	10	03	50	00	340	-155	184	32.8
2024	05	10	03	51	00	360	-164	196	32.7
2024	05	10	03	52	00	381	-177	204	33.1
2024	05	10	03	53	00	399	-183	217	33.0
2024	05	10	03	54	00	406	-191	214	33.1
2024	05	10	03	55	00	408	-197	212	33.2
2024	05	10	03	56	00	416	-197	219	33.1
2024	05	10	03	57	00	417	-196	221	34.4
2024	05	10	03	58	00	448	-211	236	34.4
2024	05	10	03	59	00	467	-220	247	34.3
2024	05	10	04	00	00	477	-220	257	34.1
2024	05	10	04	01	00	494	-225	269	34.0
2024	05	10	04	02	00	467	-224	243	33.9
2024	05	10	04	03	00	445	-207	238	33.8
2024	05	10	04	04	00	464	-211	253	33.6
2024	05	10	04	05	00	458	-219	238	33.6
2024	05	10	04	06	00	461	-222	239	33.5
2024	05	10	04	07	00	456	-219	237	33.4
2024	05	10	04	08	00	475	-222	253	33.2
2024	05	10	04	09	00	478	-220	258	33.6
2024	05	10	04	10	00	456	-221	236	33.6
2024	05	10	04	11	00	459	-224	235	33.8
2024	05	10	04	12	00	473	-225	247	33.5
2024	05	10	04	13	00	485	-234	250	33.5
2024	05	10	04	14	00	466	-239	227	33.9
2024	05	10	04	15	00	487	-244	243	34.0
2024	05	10	04	16	00	475	-221	255	34.2
2024	05	10	04	17	00	470	-199	271	33.3
2024	05	10	04	18	00	475	-221	254	32.6
2024	05	10	04	19	00	501	-252	249	32.3
2024	05	10	04	20	00	489	-253	237	32.4
2024	05	10	04	21	00	467	-238	229	32.6
2024	05	10	04	22	00	437	-220	217	32.8
2024	05	10	04	23	00	444	-220	224	32.9
2024	05	10	04	24	00	447	-229	218	32.7
2024	05	10	04	25	00	450	-242	208	32.4
2024	05	10	04	26	00	435	-237	198	32.2
2024	05	10	04	27	00	425	-220	205	31.8
2024	05	10	04	28	00	415	-220	195	31.7
2024	05	10	04	29	00	383	-218	165	31.6
2024	05	10	04	30	00	374	-211	163	31.3
2024	05	10	04	31	00	364	-205	159	31.0
2024	05	10	04	32	00	366	-198	168	31.1
2024	05	10	04	33	00	373	-189	183	31.4
2024	05	10	04	34	00	364	-189	175	31.3
2024	05	10	04	35	00	355	-187	168	30.9
2024	05	10	04	36	00	349	-181	168	30.1
2024	05	10	04	37	00	346	-180	166	29.6
2024	05	10	04	38	00	342	-175	167	29.5
2024	05	10	04	39	00	328	-176	152	29.2
2024	05	10	04	40	00	306	-172	134	29.2
2024	05	10	04	41	00	304	-172	131	29.0
2024	05	10	04	42	00	302	-167	135	29.0
2024	05	10	04	43	00	311	-168	142	29.1
2024	05	10	04	44	00	319	-170	149	29.4
2024	05	10	04	45	00	330	-176	154	29.4
2024	05	10	04	46	00	321	-168	152	29.5
2024	05	10	04	47	00	307	-157	150	29.3
2024	05	10	04	48	00	287	-138	149	29.1
2024	05	10	04	49	00	276	-128	148	29.2
2024	05	10	04	50	00	270	-122	148	28.4
2024	05	10	04	51	00	278	-123	155	28.0
2024	05	10	04	52	00	274	-116	158	27.9
2024	05	10	04	53	00	276	-115	161	27.9
2024	05	10	04	54	00	267	-104	163	28.2
2024	05	10	04	55	00	263	-103	160	28.3
2024	05	10	04	56	00	256	-96	160	28.3
2024	05	10	04	57	00	253	-93	160	28.2
2024	05	10	04	58	00	252	-92	160	27.7
2024	05	10	04	59	00	250	-92	157	27.7
2024	05	10	05	00	00	247	-94	153	27.6
2024	05	10	05	01	00	254	-97	157	27.6
2024	05	10	05	02	00	252	-95	157	27.7
2024	05	10	05	03	00	257	-96	161	27.9
2024	05	10	05	04	00	249	-93	155	27.6
2024	05	10	05	05	00	239	-94	145	27.2
2024	05	10	05	06	00	246	-99	147	27.0
2024	05	10	05	07	00	249	-105	144	26.6
2024	05	10	05	08	00	255	-113	143	26.4
2024	05	10	05	09	00	244	-110	134	26.0
2024	05	10	05	10	00	239	-109	130	26.0
2024	05	10	05	11	00	247	-104	143	26.2
2024	05	10	05	12	00	242	-102	140	26.3
2024	05	10	05	13	00	229	-92	137	26.6
2024	05	10	05	14	00	223	-81	141	26.5
2024	05	10	05	15	00	230	-93	137	26.3
2024	05	10	05	16	00	218	-81	138	26.0
2024	05	10	05	17	00	206	-74	133	25.7
2024	05	10	05	18	00	196	-74	122	25.3
2024	05	10	05	19	00	189	-71	118	25.2
2024	05	10	05	20	00	183	-66	117	24.9
2024	05	10	05	21	00	180	-64	116	24.5
2024	05	10	05	22	00	178	-64	114	24.3
2024	05	10	05	23	00	174	-61	113	24.0
2024	05	10	05	24	00	179	-68	111	23.5
2024	05	10	05	25	00	189	-78	112	22.9
2024	05	10	05	26	00	201	-89	113	22.6
2024	05	10	05	27	00	198	-84	114	22.5
2024	05	10	05	28	00	204	-88	116	22.5
2024	05	10	05	29	00	195	-81	113	22.4
2024	05	10	05	30	00	185	-73	112	22.2
2024	05	10	05	31	00	181	-69	112	21.9
2024	05	10	05	32	00	187	-74	112	21.5
2024	05	10	05	33	00	195	-83	111	21.3
2024	05	10	05	34	00	194	-84	110	21.2
2024	05	10	05	35	00	191	-83	107	21.2
2024	05	10	05	36	00	194	-89	105	21.0
2024	05	10	05	37	00	217	-111	106	21.1
2024	05	10	05	38	00	201	-90	111	21.0
2024	05	10	05	39	00	209	-89	120	21.1
2024	05	10	05	40	00	207	-85	122	21.1
2024	05	10	05	41	00	199	-81	118	21.2
2024	05	10	05	42	00	194	-83	111	21.2
2024	05	10	05	43	00	192	-87	105	21.2
2024	05	10	05	44	00	192	-87	105	21.5
2024	05	10	05	45	00	188	-86	102	21.7
2024	05	10	05	46	00	187	-89	98	21.9
2024	05	10	05	47	00	183	-91	92	22.7
2024	05	10	05	48	00	177	-94	84	23.2
2024	05	10	05	49	00	178	-95	83	22.4
2024	05	10	05	50	00	176	-96	80	21.8
2024	05	10	05	51	00	181	-96	84	21.6
2024	05	10	05	52	00	184	-92	92	22.3
2024	05	10	05	53	00	193	-91	102	22.6
2024	05	10	05	54	00	206	-103	102	22.6
2024	05	10	05	55	00	254	-146	108	22.1
2024	05	10	05	56	00	288	-177	111	22.1
2024	05	10	05	57	00	277	-158	119	22.2
2024	05	10	05	58	00	273	-147	126	22.2
2024	05	10	05	59	00	287	-153	133	22.1
2024	05	10	06	00	00	282	-143	139	22.2
2024	05	10	06	01	00	261	-116	145	22.5
2024	05	10	06	02	00	218	-78	139	22.8
2024	05	10	06	03	00	201	-69	133	23.3
2024	05	10	06	04	00	204	-70	134	23.6
2024	05	10	06	05	00	200	-71	129	23.7
2024	05	10	06	06	00	188	-69	119	23.7
2024	05	10	06	07	00	188	-73	115	24.0
2024	05	10	06	08	00	193	-75	118	24.0
2024	05	10	06	09	00	196	-78	118	24.2
2024	05	10	06	10	00	193	-79	114	24.4
2024	05	10	06	11	00	193	-86	107	24.4
2024	05	10	06	12	00	185	-79	105	24.6
2024	05	10	06	13	00	185	-79	106	24.9
2024	05	10	06	14	00	186	-77	109	25.0
2024	05	10	06	15	00	188	-76	113	24.8
2024	05	10	06	16	00	191	-78	113	24.6
2024	05	10	06	17	00	196	-82	114	24.3
2024	05	10	06	18	00	196	-81	115	24.1
2024	05	10	06	19	00	191	-77	114	24.2
2024	05	10	06	20	00	178	-69	109	24.3
2024	05	10	06	21	00	173	-64	109	24.5
2024	05	10	06	22	00	174	-66	109	24.6
2024	05	10	06	23	00	179	-68	111	24.5
2024	05	10	06	24	00	188	-74	113	24.3
2024	05	10	06	25	00	187	-74	113	24.0
2024	05	10	06	26	00	183	-74	109	23.8
2024	05	10	06	27	00	176	-71	105	23.7
2024	05	10	06	28	00	182	-76	106	23.4
2024	05	10	06	29	00	185	-77	108	23.1
2024	05	10	06	30	00	194	-79	115	23.1
2024	05	10	06	31	00	206	-78	128	23.3
2024	05	10	06	32	00	218	-79	139	23.6
