#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE> Solar Wind Parameters
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       K0>5-Min Key Parameter [PRELIM]
#     DESCRIPTOR                      SWE>ACE Solar Wind Electron Proton Alpha Monitor
#     DATA_VERSION                    1
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 20240516
#     TEXT                            SWEPAM - Solar Wind Electron Proton Alpha Monitor
#                                     References: http://www.srl.caltech.edu/ACE/
#                                     ACE browse data is designed for monitoring large scale particle and field
#                                     behavior and for selecting interesting time periods. The data is automatically
#                                     generated from the spacecraft data stream using simple algorithms provided by
#                                     the instrument teams. It is not routinely checked for accuracy and is subject
#                                     to revision. Use this data at your own risk, and consult with the appropriate
#                                     instrument teams about citing it.
#                                     SWEPAM Browse data is not validated by the experimenters and should not be used
#                                     except for preliminary examination prior to detailed studies.
#     MODS                            Initial Release 12/01/98
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 AC_K0_SWE_20240510_V01
#     LOGICAL_SOURCE                  AC_K0_SWE
#     LOGICAL_SOURCE_DESCRIPTION      K0 - ACE Solar Wind Experiment 5-Minute Key Parameters [PRELIM]
#     PI_NAME                         D. J. McComas
#     PI_AFFILIATION                  Southwest Research Institute
#     MISSION_GROUP                   ACE
#                                     !___Interplanetary Data near 1 AU
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     TIME_RESOLUTION                 5 minutes
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, D. J. McComas of
#                                     NASA LANL
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/
#     ALT_LOGICAL_SOURCE              ACE_SWEPAM_Solar-Wind-Plasma-Key-Parameters-K0_5min_cdf
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ACE/SWEPAM/KeyParameter/PT5M
#     CDAWEB_PARENTS                  ac_k0_swe_00000000_v01
#                                     ac_k0_swe_20240510_v01, ac_k0_swe_20240511_v01
#                                     ac_k0_swe_20240512_v01, ac_k0_swe_20240513_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, centered
#  2. [PRELIMINARY VALUES - BROWSE USE ONLY] Solar Wind Proton Number Density, scalar
#       NOTES:  Np is the proton number density in units of cm-3, as calculated by integrating the ion distribution function.
#  3. [PRELIMINARY VALUES - BROWSE USE ONLY] Solar Wind Bulk Speed
#       NOTES:  Vp is the solar wind proton speed, or more generally just the solar wind (bulk) speed. It is obtained by integrating the ion (proton) distribution function.
#  4. [PRELIMINARY VALUES - BROWSE USE ONLY] radial component of the proton temperature
#       NOTES:  The radial component of the proton temperature is the (1,1) component of the temperature tensor, along the radial direction. It is obtained by integration of the ion (proton) distribution function.
#
EPOCH                   [PRELIM]_SW_H_NUM_DENSITY [PRELIM]_SW_BULK_SPEED [PRELIM]_H_TEMP_(RADICAL)
dd-mm-yyyy hh:mm:ss.ms                       #/cc                   km/s                    Kelvin
10-05-2024 09:00:00.000                   5.86070                420.810                   59830.0
10-05-2024 09:05:00.000                   4.53410                416.560                   70189.0
10-05-2024 09:10:00.000                   3.74050                414.000                   77155.0
10-05-2024 09:15:00.000                   3.62820                416.240                   70481.0
10-05-2024 09:20:00.000                   3.72140                421.720                   73356.0
10-05-2024 09:25:00.000                   3.88010                420.390                   67907.0
10-05-2024 09:30:00.000                   3.85210                418.540                   66356.0
10-05-2024 09:35:00.000                   3.41150                416.190                   64846.0
10-05-2024 09:40:00.000                   4.20800                416.820                   73273.0
10-05-2024 09:45:00.000                   4.00600                417.070                   69680.0
10-05-2024 09:50:00.000                   4.01740                413.300                   68604.0
10-05-2024 09:55:00.000                   3.46640                411.820                   61174.0
10-05-2024 10:00:00.000                   2.88000                409.390                   62126.0
10-05-2024 10:05:00.000                   2.14300                407.030                   53187.0
10-05-2024 10:10:00.000                   2.45670                409.430                   66803.0
10-05-2024 10:15:00.000                   2.38930                410.370                   54059.0
10-05-2024 10:20:00.000                   2.27090                406.010                   55421.0
10-05-2024 10:25:00.000                   2.31530                401.670                   63215.0
10-05-2024 10:30:00.000                   2.29830                406.120                   63616.0
10-05-2024 10:35:00.000                   2.16660                403.930                   68161.0
10-05-2024 10:40:00.000                   1.96430                406.640                   50059.0
10-05-2024 10:45:00.000                   2.11490                405.900                   46260.0
10-05-2024 10:50:00.000                   2.02280                408.890                   40881.0
10-05-2024 10:55:00.000                   2.34800                410.920                   51129.0
10-05-2024 11:00:00.000                   2.53020                404.400                   61264.0
10-05-2024 11:05:00.000                   2.49640                403.300                   53507.0
10-05-2024 11:10:00.000                   2.32770                403.640                   61533.0
10-05-2024 11:15:00.000                   2.26500                398.610                   47395.0
10-05-2024 11:20:00.000                   2.27980                394.520                   45758.0
10-05-2024 11:25:00.000                   2.17590                398.800                   42836.0
10-05-2024 11:30:00.000                   2.12320                404.450                   46609.0
10-05-2024 11:35:00.000                   2.07770                404.610                   47990.0
10-05-2024 11:40:00.000                   2.40130                401.410                   71891.0
10-05-2024 11:45:00.000                   2.37340                402.130                   75017.0
10-05-2024 11:50:00.000                   2.15940                399.540                   73181.0
10-05-2024 11:55:00.000                   2.39200                400.960                   63771.0
10-05-2024 12:00:00.000                   2.55200                404.250                   74862.0
10-05-2024 12:05:00.000                   2.52440                407.910                   75130.0
10-05-2024 12:10:00.000                   2.54700                408.320                   87537.0
10-05-2024 12:15:00.000                   3.35120                415.150                   73354.0
10-05-2024 12:20:00.000                   2.30980                404.970                   78435.0
10-05-2024 12:25:00.000                   2.26010                409.360                   98760.0
10-05-2024 12:30:00.000                   2.27070                405.430                   100447.
10-05-2024 12:35:00.000                   2.23990                409.740                   97932.0
10-05-2024 12:40:00.000                   2.20560                410.330                   94140.0
10-05-2024 12:45:00.000                   2.48060                409.240                   90529.0
10-05-2024 12:50:00.000                   2.28350                411.220                   89055.0
10-05-2024 12:55:00.000                   2.46930                414.300                   93928.0
10-05-2024 13:00:00.000                   2.78410                424.480                   93206.0
10-05-2024 13:05:00.000                   3.39800                435.700                   104451.
10-05-2024 13:10:00.000                   3.12420                439.280                   106313.
10-05-2024 13:15:00.000                   3.22510                439.210                   107057.
10-05-2024 13:20:00.000                   3.39900                444.000                   126823.
10-05-2024 13:25:00.000                   3.53260                446.470                   147053.
