File created on 2024-08-30T14:48:23.418999 by Dan Welling. Density spikes removed manually.
Source data: wind_20240509_230030_merged.cdf
Ballistically propagted from L1 to upstream BATS-R-US boundaryFile created on 2024-08-30 14:48:23.418358
Units: nT, km/s, K

#COORINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T
#START
2024 05 10 09 57 28 961       -0.22      -1.84      -3.57    -418.66      12.31     -21.44       5.04   83958.89
2024 05 10 09 58 29 104       -0.21      -1.72      -3.62    -418.64      12.48     -20.93       4.96   85009.51
2024 05 10 09 59 29 247       -0.24      -1.59      -3.54    -418.62      12.64     -20.42       4.88   86060.13
2024 05 10 10 00 29 390       -0.05      -1.64      -3.55    -418.60      12.80     -19.91       4.80   87110.75
2024 05 10 10 01 29 707       -0.19      -1.69      -3.57    -418.55      12.84     -19.57       4.73   87769.85
2024 05 10 10 02 30 549       -0.30      -1.61      -3.63    -418.43      12.49     -19.72       4.69   87254.40
2024 05 10 10 03 31 391       -0.29      -1.53      -3.71    -418.30      12.15     -19.87       4.64   86738.95
2024 05 10 10 04 32 233       -0.24      -1.56      -3.58    -418.18      11.80     -20.02       4.59   86223.50
2024 05 10 10 05 33 077       -0.25      -1.48      -3.46    -418.05      11.45     -20.18       4.55   85708.05
2024 05 10 10 06 33 921       -0.28      -1.36      -3.37    -417.93      11.10     -20.33       4.50   85192.60
2024 05 10 10 07 34 764       -0.27      -1.46      -3.45    -417.80      10.76     -20.48       4.45   84677.16
2024 05 10 10 08 35 609        0.15      -1.89      -3.50    -417.68      10.41     -20.63       4.40   84161.70
2024 05 10 10 09 36 454        0.24      -1.92      -3.33    -417.55      10.06     -20.79       4.36   83646.26
2024 05 10 10 10 37 300        0.35      -2.09      -3.37    -417.43       9.71     -20.94       4.31   83130.80
2024 05 10 10 11 39 376        0.21      -2.05      -3.41    -417.12      10.29     -19.19       4.18   83674.89
2024 05 10 10 12 45 156       -0.30      -1.91      -3.75    -416.26      13.63     -11.72       3.81   87397.56
2024 05 10 10 13 44 753       -0.27      -1.95      -3.75    -416.33      14.19     -10.50       3.82   90949.83
2024 05 10 10 14 42 287       -0.55      -1.72      -3.73    -416.69      13.82     -11.36       3.97   94445.30
2024 05 10 10 15 39 827       -0.50      -1.82      -3.68    -417.06      13.46     -12.22       4.12   97940.76
2024 05 10 10 16 37 370        0.01      -2.11      -3.52    -417.43      13.09     -13.08       4.27  101436.23
2024 05 10 10 17 34 918       -0.04      -2.00      -3.35    -417.80      12.73     -13.94       4.41  104931.70
2024 05 10 10 18 32 424       -0.05      -1.70      -3.08    -418.17      14.15     -13.86       4.41  108511.81
2024 05 10 10 19 29 920       -0.13      -1.49      -2.78    -418.55      16.17     -13.47       4.36  112120.15
2024 05 10 10 20 27 420       -0.12      -1.53      -2.73    -418.92      18.19     -13.08       4.31  115728.48
2024 05 10 10 21 24 924        0.03      -1.86      -2.83    -419.30      20.21     -12.69       4.25  119336.81
2024 05 10 10 22 22 433        0.27      -1.85      -2.36    -419.68      22.23     -12.30       4.20  122945.15
2024 05 10 10 23 19 946        0.51      -2.03      -2.32    -420.06      24.25     -11.91       4.15  126553.48
2024 05 10 10 24 17 464        0.74      -2.43      -2.59    -420.43      26.27     -11.52       4.10  130161.81
2024 05 10 10 25 08 642        0.73      -2.54      -2.85    -421.77      22.28     -12.32       4.03  120142.41
2024 05 10 10 26 00 401        0.58      -2.36      -2.97    -423.03      17.83     -13.22       3.95  108336.09
2024 05 10 10 27 00 054        0.43      -2.25      -3.08    -423.09      17.98     -13.22       3.86  104796.77
2024 05 10 10 27 59 707        0.46      -2.31      -3.17    -423.14      18.13     -13.22       3.77  101257.43
2024 05 10 10 28 59 361        0.55      -2.40      -3.19    -423.20      18.28     -13.22       3.69   97718.10
2024 05 10 10 29 56 256        0.65      -2.26      -3.20    -423.68      18.84     -10.11       3.52  100061.70
2024 05 10 10 30 54 060        0.85      -2.40      -3.32    -424.02      19.23      -7.67       3.40  102446.94
2024 05 10 10 31 57 330        0.95      -2.45      -3.24    -423.51      18.74     -10.37       3.51   99074.10
2024 05 10 10 33 20 495        1.07      -2.47      -2.96    -419.99      17.05      -7.30       3.43   97579.03
2024 05 10 10 34 50 859        0.22      -1.85      -3.68    -415.45      14.96      -2.32       3.28   96709.89
2024 05 10 10 35 49 194       -0.01      -1.67      -3.75    -415.70      11.84      -6.23       3.80  106318.75
2024 05 10 10 36 37 950       -1.17      -0.24      -2.96    -417.37       9.70     -11.43       4.37  115950.80
2024 05 10 10 37 30 195       -1.13      -0.17      -2.68    -418.53      11.51     -11.53       4.40  115174.50
2024 05 10 10 38 22 484       -0.59      -0.67      -2.47    -419.69      13.32     -11.64       4.42  114398.20
2024 05 10 10 39 14 815       -0.29      -0.95      -2.49    -420.86      15.14     -11.75       4.45  113621.90
2024 05 10 10 40 07 188        0.10      -1.28      -2.61    -422.02      16.95     -11.86       4.47  112845.59
2024 05 10 10 41 04 986        0.14      -1.27      -2.70    -422.36      18.02     -12.20       4.53  110948.52
2024 05 10 10 42 19 037        0.14      -1.23      -2.68    -420.22      16.89     -13.24       4.66  105689.14
2024 05 10 10 43 20 786        0.09      -1.37      -2.71    -419.96      16.43     -13.23       4.68  105947.05
2024 05 10 10 44 18 408       -0.33      -1.29      -3.05    -420.32      16.19     -12.87       4.65  108044.06
2024 05 10 10 45 16 035       -0.54      -1.43      -3.25    -420.68      15.96     -12.51       4.63  110141.07
2024 05 10 10 46 13 665       -0.46      -1.87      -3.28    -421.04      15.72     -12.15       4.61  112238.08
2024 05 10 10 47 11 299       -0.32      -2.01      -2.86    -421.40      15.48     -11.79       4.59  114335.09
2024 05 10 10 48 18 229       -0.09      -1.77      -2.58    -420.35      15.34     -12.59       4.45  116049.68
2024 05 10 10 49 28 318        0.35      -1.74      -2.44    -418.83      15.22     -13.78       4.28  117636.80
2024 05 10 10 50 38 482        0.22      -1.61      -2.55    -417.31      15.10     -14.97       4.12  119223.92
2024 05 10 10 51 48 720       -0.47      -1.46      -2.83    -415.79      14.98     -16.16       3.95  120811.05
2024 05 10 10 52 59 032       -1.03      -1.65      -2.38    -414.27      14.86     -17.35       3.78  122398.16
2024 05 10 10 54 14 836       -1.61      -1.76      -2.03    -411.97      19.11     -15.65       3.79  137345.20
2024 05 10 10 55 32 646       -1.78      -1.52      -2.44    -409.40      24.81     -12.99       3.85  156745.55
2024 05 10 10 56 09 838       -1.88      -1.10      -2.71    -412.70      24.28     -13.85       3.98  149871.73
2024 05 10 10 56 34 245       -1.74      -0.37      -2.44    -417.96      21.67     -15.89       4.13  134239.86
2024 05 10 10 56 59 536       -1.22      -0.19      -2.22    -423.21      19.05     -17.93       4.28  118608.01
2024 05 10 10 57 55 642       -0.81      -0.63      -2.39    -423.81      18.86     -15.74       4.04  112129.98
2024 05 10 10 59 01 864       -0.52      -1.64      -3.17    -422.86      19.48     -12.14       3.66  108703.25
2024 05 10 10 59 50 984       -0.22      -2.18      -3.29    -424.53      21.18     -12.82       3.48  101352.75
2024 05 10 11 00 40 219        0.07      -2.49      -3.19    -426.20      22.65     -14.15       3.41   95215.34
2024 05 10 11 01 46 490       -0.10      -2.28      -3.43    -425.23      22.32     -13.13       3.44   96641.03
2024 05 10 11 02 52 789       -0.37      -2.17      -3.50    -424.26      21.99     -12.11       3.47   98066.72
2024 05 10 11 03 59 117       -0.42      -2.23      -3.46    -423.29      21.65     -11.09       3.49   99492.41
2024 05 10 11 05 07 753       -0.61      -2.23      -3.46    -421.97      22.05     -10.78       3.55   97584.38
2024 05 10 11 06 13 469       -0.60      -2.33      -3.43    -421.10      22.66     -11.00       3.57   95522.66
2024 05 10 11 07 08 008       -0.34      -2.41      -3.41    -421.93      23.12     -12.14       3.48   96333.53
