DSCOVR

#COORDINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T F107
#START
2024  5 10  9 15 51 571    1.22    0.24    1.28  -408.6     2.6    -8.6     9.52   59594.0  233.5
2024  5 10  9 16 39 200    0.65    0.75    1.38  -410.2    -8.5   -15.3     9.69   59129.0  233.5
2024  5 10  9 17 29 985    0.65    1.03    1.73  -411.3    -8.6   -17.2     9.34   59187.0  233.5
2024  5 10  9 18 33 818    0.66    0.96    1.91  -410.8   -12.1   -16.2     9.35   59564.0  233.5
2024  5 10  9 19 30 751    0.58    0.94    1.76  -411.2   -11.8   -18.2     9.25   60826.0  233.5
2024  5 10  9 20 32 284    0.65    0.95    1.70  -411.1   -13.5   -19.1     9.25   61263.0  233.5
2024  5 10  9 21  7 181    2.02   -1.21    1.55  -414.3   -19.1   -34.8     8.01   65206.0  233.5
2024  5 10  9 21 41 733    2.41   -1.34    1.93  -417.7   -21.8   -37.0     8.02   73366.0  233.5
2024  5 10  9 22 14 431    2.79   -2.02    1.48  -429.8   -28.5   -44.9     7.84  109662.0  233.5
2024  5 10  9 22 30 213    2.75   -2.18    0.96  -436.2   -36.1   -53.6     8.17  133290.0  233.5
2024  5 10  9 23 37  36    2.51   -2.46    0.27  -435.2   -36.7   -44.8     8.19  126404.0  233.5
2024  5 10  9 24 13 290    2.63   -2.25    0.64  -438.7   -40.9   -46.1     8.58  155206.0  233.5
2024  5 10  9 24 54 565    2.85   -2.78    0.13  -441.6   -49.3   -51.7     8.57  160229.0  233.5
2024  5 10  9 25 58 557    2.67   -2.29   -0.19  -441.0   -49.4   -48.2     8.68  154133.0  233.5
2024  5 10  9 26 43 971    2.63   -2.42    0.17  -443.2   -51.4   -54.3     8.86  149357.0  233.5
2024  5 10  9 27 42 652    2.66   -2.43    0.24  -443.3   -51.6   -56.9     8.68  148418.0  233.5
2024  5 10  9 28 46 612    2.59   -2.46    0.40  -442.7   -48.5   -58.1     8.77  153029.0  233.5
2024  5 10  9 29 48 596    2.69   -2.55    0.47  -442.5   -48.4   -58.2     8.69  156410.0  233.5
2024  5 10  9 31 11 945    2.36   -2.40    0.47  -439.0   -49.6   -54.1     8.66  143124.0  233.5
2024  5 10  9 33 10 929    1.67   -2.07   -0.19  -430.3   -28.7   -43.1     9.31  103176.0  233.5
2024  5 10  9 34 12 329    1.69   -2.43    0.05  -430.2   -28.5   -44.1     9.13   92893.0  233.5
2024  5 10  9 34 47 330    1.61   -2.67   -0.16  -433.7   -34.8   -45.8     9.37  110803.0  233.5
2024  5 10  9 36  0 472    1.32   -2.61   -0.35  -431.8   -30.2   -44.0     9.36   99121.0  233.5
2024  5 10  9 37 10 230    0.02   -1.44   -1.47  -430.5   -25.9   -39.9     8.89  103940.0  233.5
2024  5 10  9 38 31 354   -0.32   -0.72   -1.37  -427.5   -20.3   -35.2     9.27   75985.0  233.5
2024  5 10  9 39 39 174   -0.36   -0.70   -1.23  -426.3   -20.2   -36.3     9.33   68480.0  233.5
2024  5 10  9 40 17 238   -0.84   -1.62   -2.19  -429.5   -25.9   -39.1     8.61  106610.0  233.5
2024  5 10  9 41 32  63   -0.80   -0.98   -2.32  -427.3   -19.0   -38.0     8.96   85989.0  233.5
2024  5 10  9 42 29 936   -0.65   -0.88   -2.43  -427.7   -18.9   -38.3     8.85   83883.0  233.5
2024  5 10  9 43 17 941   -1.22   -1.27   -2.81  -429.3   -29.2   -45.9     7.76  106599.0  233.5
2024  5 10  9 44 17 941   -1.26   -1.73   -2.48  -429.3   -31.3   -45.8     7.64  110844.0  233.5
2024  5 10  9 45  7 435   -1.02   -2.09   -2.13  -430.8   -33.2   -47.1     7.74  111539.0  233.5
2024  5 10  9 46 27 105   -0.68   -2.02   -1.77  -428.1   -24.2   -38.3     8.27   95220.0  233.5
2024  5 10  9 47 17 238   -1.04   -1.82   -2.23  -429.5   -31.2   -46.4     7.57  105939.0  233.5
2024  5 10  9 48 42 742   -1.13   -0.77   -2.78  -425.8   -22.9   -40.2     8.42   67459.0  233.5
2024  5 10  9 49 22 164   -1.01   -0.94   -2.98  -428.7   -21.2   -37.8     8.76  102263.0  233.5
2024  5 10  9 50 52 777   -0.94   -1.13   -3.25  -424.5   -23.1   -38.9     8.02   67088.0  233.5
2024  5 10  9 51 42 742   -0.98   -1.16   -3.25  -425.8   -23.5   -37.7     8.18   84010.0  233.5
2024  5 10  9 52 22 869   -0.93   -1.19   -3.27  -428.7   -26.9   -41.8     8.03  108047.0  233.5
2024  5 10  9 53 39 887   -0.80   -1.33   -3.35  -426.2   -24.3   -41.5     8.13   85576.0  233.5
2024  5 10  9 54 27 105   -1.07   -1.21   -3.28  -428.1   -28.5   -42.0     7.96  106564.0  233.5
2024  5 10  9 55 28 520   -1.07   -1.19   -3.23  -427.8   -27.1   -42.2     8.03  107989.0  233.5
2024  5 10  9 56 23 574   -1.26   -0.97   -3.28  -428.6   -32.9   -45.8     7.52  113136.0  233.5
2024  5 10  9 57 15 133   -1.29   -0.88   -3.29  -429.7   -31.4   -45.3     7.84  116434.0  233.5
2024  5 10  9 58 22 164   -1.09   -0.96   -3.26  -428.7   -27.6   -42.5     8.02   99978.0  233.5
2024  5 10  9 59 34 904   -1.29   -0.97   -3.09  -427.0   -28.6   -45.5     7.88   94107.0  233.5
2024  5 10 10  0 54 216   -1.32   -0.76   -3.01  -424.2   -28.8   -43.8     7.43   77861.0  233.5
2024  5 10 10  1 47  35   -1.34   -0.73   -3.09  -425.2   -28.3   -46.7     7.40   84719.0  233.5
2024  5 10 10  2 46 318   -0.87   -1.11   -3.09  -425.3   -23.9   -41.8     7.83   68025.0  233.5
2024  5 10 10  3 56 377   -1.65   -0.16   -2.72  -424.0   -46.9   -69.3     6.18  130299.0  233.5
2024  5 10 10  4 37 749   -1.54   -0.46   -2.95  -426.6   -49.1   -68.3     6.01  130585.0  233.5
2024  5 10 10  5 33 483   -1.77   -0.40   -3.10  -427.2   -39.4   -74.0     5.74  123800.0  233.5
2024  5 10 10  6 25 692   -1.78    0.20   -2.85  -428.2   -44.5   -69.8     5.96  122496.0  233.5
2024  5 10 10  7 15 133   -1.28   -0.86   -2.53  -429.7   -40.2   -69.6     6.00  124731.0  233.5
2024  5 10 10  8 14 431   -1.22   -1.45   -2.53  -429.8   -36.2   -69.5     6.17  119302.0  233.5
2024  5 10 10  9 16 536   -1.15   -1.71   -2.71  -429.6   -31.1   -61.8     6.45  107264.0  233.5
2024  5 10 10 10 11 629   -1.18   -2.22   -2.87  -430.2   -34.0   -62.9     6.08  118074.0  233.5
2024  5 10 10 11 17 941   -1.23   -1.66   -3.31  -429.3   -28.5   -67.0     5.99  122719.0  233.5
2024  5 10 10 12 23 574   -1.05   -1.81   -3.03  -428.6   -29.9   -64.5     6.18  117254.0  233.5
2024  5 10 10 13 19 347   -1.18   -1.35   -3.32  -429.2   -33.7   -64.3     5.95  114413.0  233.5
2024  5 10 10 14 17 238   -1.19   -1.46   -3.28  -429.5   -36.0   -66.4     5.67  118786.0  233.5
2024  5 10 10 15 26 398   -0.96   -1.38   -3.21  -428.2   -33.7   -68.5     5.88  122104.0  233.5
2024  5 10 10 16 20  51   -1.22   -2.10   -2.85  -429.1   -31.2   -70.6     5.49  124983.0  233.5
2024  5 10 10 17  9 530   -1.41   -3.05   -2.85  -430.6     0.6    -0.3     4.50  139051.0  233.5
2024  5 10 10 18 27 105   -0.93   -2.52   -3.10  -428.1   -34.2   -82.6     5.24  130102.0  233.5
2024  5 10 10 19 22 164   -0.72   -2.45   -3.13  -428.7   -35.8   -85.2     5.13  128894.0  233.5
2024  5 10 10 20 26 398   -0.77   -2.47   -3.11  -428.2   -35.9   -80.3     5.21  120811.0  233.5
2024  5 10 10 21 26 398   -0.96   -2.27   -3.23  -428.2   -32.5   -75.6     5.42  129991.0  233.5
2024  5 10 10 22 27 105   -1.11   -2.23   -3.20  -428.1   -35.4   -79.9     5.38  124020.0  233.5
2024  5 10 10 23 24 280   -1.20   -0.75   -3.27  -428.5   -40.7   -78.3     5.67  124086.0  233.5
