EPOCH                          [PRELIM]_BX_GSE        [PRELIM]_BY_GSE        [PRELIM]_BZ_GSE
                                        (@_x_)                 (@_y_)                 (@_z_)
dd-mm-yyyy hh:mm:ss.ms                      nT                     nT                     nT
10-05-2024 09:35:00.000               -1.10100               -2.19700               -2.83100
10-05-2024 09:40:00.000              -0.624000               -1.34600               -2.57200
10-05-2024 09:45:00.000              -0.664000               -1.15700               -2.54400
10-05-2024 09:50:00.000              -0.821000               -1.38700               -2.46300
10-05-2024 09:55:00.000               -1.24100               -1.68600               -2.81400
10-05-2024 10:00:00.000               -1.74600               -2.19100               -2.77000
10-05-2024 10:05:00.000               -1.94100               -2.48500               -3.18300
10-05-2024 10:10:00.000               -1.68000               -1.69800               -3.04800
10-05-2024 10:15:00.000               -1.70800               -2.15100               -3.38400
10-05-2024 10:20:00.000               -1.96600               -2.20500               -3.13700
10-05-2024 10:25:00.000               -2.16700               -2.03000               -2.95800
10-05-2024 10:30:00.000               -2.09700               -1.97600               -3.19000
10-05-2024 10:35:00.000               -2.39300               -2.22500               -2.73200
10-05-2024 10:40:00.000               -1.89100               -2.36300               -2.98500
10-05-2024 10:45:00.000               -1.78200               -2.45000               -3.00300
10-05-2024 10:50:00.000               -1.48300               -2.96200               -2.70600
10-05-2024 10:55:00.000               -1.87200               -2.08000               -2.87700
10-05-2024 11:00:00.000               -2.42400              -0.918000               -3.04600
10-05-2024 11:05:00.000               -2.14200               -1.62000               -3.06900
10-05-2024 11:10:00.000               -2.19700               -2.20700               -2.27600
10-05-2024 11:15:00.000               -2.53000               -1.68300               -3.02800
10-05-2024 11:20:00.000               -2.67700               -1.34400               -3.26100
10-05-2024 11:25:00.000               -2.44500               -1.89200               -3.17200
10-05-2024 11:30:00.000               -2.04000               -2.11100               -3.06100
10-05-2024 11:35:00.000               -2.21400               -1.87000               -2.99700
10-05-2024 11:40:00.000               -2.78300              -0.682000               -2.40800
10-05-2024 11:45:00.000               -2.95000              -0.724000               -2.41200
10-05-2024 11:50:00.000               -3.12700              -0.646000               -2.37200
10-05-2024 11:55:00.000               -3.21200              -0.640000               -2.47500
10-05-2024 12:00:00.000               -3.22800              -0.455000               -2.38900
10-05-2024 12:05:00.000               -3.03500              -0.806000               -2.61100
10-05-2024 12:10:00.000               -3.25600              0.0440000               -2.13700
10-05-2024 12:15:00.000               -1.79700              -0.580000               -1.50200
10-05-2024 12:20:00.000               -2.59300               -1.12700               -2.59600
10-05-2024 12:25:00.000               -3.17300              -0.284000               -2.10400
10-05-2024 12:30:00.000               -3.51100              -0.200000               -1.77900
10-05-2024 12:35:00.000               -3.19400               0.203000               -1.86900
10-05-2024 12:40:00.000               -3.13400              -0.469000               -1.86400
10-05-2024 12:45:00.000               -3.22600              -0.923000               -1.91100
10-05-2024 12:50:00.000               -3.21700              -0.886000               -1.84500
10-05-2024 12:55:00.000               -2.80200              -0.616000               -2.73400
10-05-2024 13:00:00.000               -2.92200              -0.620000               -3.04700
10-05-2024 13:05:00.000               -3.00200              -0.944000               -3.77000
10-05-2024 13:10:00.000               -3.21800               -1.58400               -3.36200
10-05-2024 13:15:00.000               -3.30500              -0.418000               -3.32600
10-05-2024 13:20:00.000               -2.82100              -0.498000               -3.18200
10-05-2024 13:25:00.000               -3.15700               0.391000               -1.41300
10-05-2024 13:30:00.000               -1.27900                2.69600                3.67300
10-05-2024 13:35:00.000               -1.05800                3.00800                2.77700
10-05-2024 13:40:00.000               -1.78900                1.72100               0.249000
10-05-2024 13:45:00.000               -1.87800                1.50400               -1.94200
10-05-2024 13:50:00.000               -1.90200               0.502000              -0.689000
10-05-2024 13:55:00.000              -0.890000               0.794000               0.362000
10-05-2024 14:00:00.000              -0.955000               0.400000              -0.419000
10-05-2024 14:05:00.000               -1.25100               -1.02000               0.246000
10-05-2024 14:10:00.000               -1.25900              -0.759000               0.608000
10-05-2024 14:15:00.000               -1.31900               0.468000               0.663000
10-05-2024 14:20:00.000               -1.42900                1.09200               0.785000
10-05-2024 14:25:00.000               -2.18000                1.53400               0.755000
10-05-2024 14:30:00.000               -3.03200                1.70200               0.595000
10-05-2024 14:35:00.000               -1.64300                1.68500               0.862000
10-05-2024 14:40:00.000               -1.38300                1.29300               0.120000
10-05-2024 14:45:00.000               -2.03800               0.160000              -0.134000
10-05-2024 14:50:00.000               -1.38400                1.03100               0.793000
10-05-2024 14:55:00.000               -1.40100                1.10900               0.600000
10-05-2024 15:00:00.000              -0.780000                1.61400                1.06400
10-05-2024 15:05:00.000              -0.423000                1.50900               0.981000
10-05-2024 15:10:00.000              -0.812000                1.41200                1.21400
10-05-2024 15:15:00.000               -1.45000               0.587000               0.739000
10-05-2024 15:20:00.000               -1.15200                1.02100               0.759000
10-05-2024 15:25:00.000               -1.25000                3.14100                1.49200
10-05-2024 15:30:00.000               -2.12800                5.03800                2.15000
10-05-2024 15:35:00.000               -1.17300                3.35700                1.31000
10-05-2024 15:40:00.000               -1.34100                2.44000                2.21100
10-05-2024 15:45:00.000               -1.66100                2.09500                1.56200
10-05-2024 15:50:00.000               -1.82800                2.64000                2.62200
10-05-2024 15:55:00.000               -1.73300                2.98800                2.11300
10-05-2024 16:00:00.000               -1.69400                1.64100                2.13300
10-05-2024 16:05:00.000               -1.22200                2.25200                2.31500
10-05-2024 16:10:00.000               -1.02600                1.33200                1.61700
10-05-2024 16:15:00.000              -0.740000                1.14600                1.83200
