Created with imf_median.pro
Median of IMF_ballistic_WIND_bad.dat, IMF_ballistic_ACE.dat, IMF_ballistic_DSCOVER_bad.dat
Units: nT, km/s, K

#COORDINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T F107
#START
2024  5 10  9 18 21 464       0.66       0.26       1.81    -417.73      -3.72     -16.39       9.35   59491.04     233.50
2024  5 10  9 19 18   1       0.60       0.11       1.75    -414.80      -3.51     -17.75       8.87   60543.38     233.50
2024  5 10  9 20 14 540       0.63      -0.04       1.68    -411.87      -3.30     -18.84       8.39   61136.98     233.50
2024  5 10  9 21 11  86       1.80      -0.19       1.59    -414.68      -3.09     -29.88       8.01   66128.23     233.50
2024  5 10  9 22  7 642       1.95      -0.59       1.56    -422.20      -2.88     -30.35       7.88   78265.78     233.50
2024  5 10  9 23  4 206       2.08      -1.19       0.61    -422.80      -2.68     -30.82       8.18   77880.68     233.50
2024  5 10  9 24  0 786       2.19      -1.48       0.51    -423.30      -2.47     -31.29       8.15   70387.13     233.50
2024  5 10  9 24 57 368       2.37      -1.81       0.12    -425.64      -2.26     -31.76       8.09   80646.55     233.50
2024  5 10  9 25 53 958       1.92      -2.02      -0.17    -428.76      -2.05     -32.24       8.03  100619.41     233.50
2024  5 10  9 26 54 639       1.72      -1.94       0.09    -434.83      -0.80     -31.18       7.79  120331.03     233.50
2024  5 10  9 27 59 369       1.73      -1.99       0.03    -441.15       0.00     -28.62       7.35  145710.59     233.50
2024  5 10  9 28 59 147       1.70      -2.06      -0.07    -442.66       0.00     -27.51       7.90  153712.73     233.50
2024  5 10  9 29 58 379       1.62      -1.95      -0.24    -442.09       0.00     -26.76       8.69  154850.56     233.50
2024  5 10  9 30 58 156       1.54      -1.81      -0.42    -439.58       0.00     -26.53       8.66  145322.00     233.50
2024  5 10  9 31 57 933       1.33      -1.82      -0.48    -435.64       0.00     -26.31       8.91  127683.87     233.50
2024  5 10  9 32 57 717       1.10      -1.81      -0.54    -431.27       0.00     -26.09       9.24  107611.83     233.50
2024  5 10  9 33 57 494       0.87      -1.47      -0.59    -430.22       0.00     -25.86       9.17   95377.50     233.50
2024  5 10  9 34 57 272       0.65      -1.34      -0.65    -433.44       0.00     -25.64       7.95  109215.09     233.50
2024  5 10  9 35 57  56       0.42      -1.37      -0.71    -431.89       0.00     -25.42       6.96   99666.59     233.50
2024  5 10  9 36 57 372       0.16      -1.65      -1.26    -430.74       0.00     -25.96       6.89  103051.75     233.50
2024  5 10  9 37 58 228      -0.12      -1.01      -1.41    -428.73       0.00     -27.28       6.68   87400.09     233.50
2024  5 10  9 39  3 166      -0.34      -0.77      -1.30    -426.94       0.00     -26.09       6.65   72464.66     233.50
2024  5 10  9 40  8 971      -0.59      -1.42      -1.98    -427.83       0.00     -24.37       6.66   76939.50     233.50
2024  5 10  9 41 14 801      -0.76      -1.13      -2.18    -425.45       0.00     -22.65       6.67   72425.15     233.50
2024  5 10  9 42 12 706      -0.61      -1.03      -2.26    -427.58       0.00     -21.77       6.56   84510.00     233.50
2024  5 10  9 42 59 885      -0.65      -1.12      -2.66    -428.70       0.00     -22.03       6.66   98054.89     233.50
2024  5 10  9 44  1 794      -0.83      -1.61      -2.57    -429.30       0.00     -21.36       6.98  109701.60     233.50
2024  5 10  9 45  7 255      -1.02      -1.94      -2.13    -430.79       0.00     -20.63       7.33  111536.47     233.50
2024  5 10  9 46 11 908      -0.74      -1.96      -2.10    -428.62       0.00     -20.99       7.58   98332.84     233.50
2024  5 10  9 47 16 578      -1.04      -1.82      -2.49    -429.48       0.00     -21.34       7.58  105797.88     233.50
2024  5 10  9 48 21 273      -1.11      -1.89      -2.88    -426.73       0.00     -21.70       6.32   77120.85     233.50
2024  5 10  9 49 20 553      -1.01      -1.66      -2.97    -426.78       0.00     -18.51       5.88   85916.54     233.50
2024  5 10  9 50 18 955      -0.97      -1.39      -3.15    -425.34       0.00     -14.99       5.70   80217.34     233.50
2024  5 10  9 51 23 590      -0.96      -1.53      -3.25    -425.30       0.00     -17.75       6.78   77523.66     233.50
2024  5 10  9 52 25 140      -0.93      -1.46      -3.23    -425.86       0.00     -20.06       6.26   73600.50     233.50
2024  5 10  9 53 22 496      -0.83      -1.39      -3.33    -422.15       0.00     -21.76       5.73   62034.91     233.50
2024  5 10  9 54 19 898      -1.03      -1.32      -3.29    -420.40       0.00     -20.36       5.13   58706.00     233.50
2024  5 10  9 55 17 310      -1.07      -1.30      -3.24    -420.80       0.00     -17.91       5.36   62196.40     233.50
2024  5 10  9 56  9 563      -1.21      -1.42      -3.27    -422.00       0.00     -19.67       5.88   66662.04     233.50
2024  5 10  9 57  5 665      -1.28      -1.24      -3.29    -422.60       0.00     -19.29       5.53   66201.54     233.50
2024  5 10  9 58  8 721      -1.13      -1.21      -3.27    -422.95       0.00     -14.85       5.29   78561.60     233.50
2024  5 10 10  1 35 461      -1.34      -0.74      -3.07    -419.03       0.00     -46.06       7.41   81742.85     233.50
2024  5 10 10  2 36 233      -0.95      -1.05      -3.09    -418.00       0.00     -13.62       4.80   70864.92     233.50
2024  5 10 10  3 38 182      -1.45      -0.50      -2.82    -417.70       0.00     -14.52       4.68   78424.62     233.50
2024  5 10 10  4 38 673      -1.54      -0.72      -2.95    -417.60       0.00     -14.85       4.72   73552.01     233.50
2024  5 10 10  5 37 668      -1.77      -0.79      -3.08    -417.80       0.00     -14.96       4.79   72467.90     233.50
2024  5 10 10  6 24 111      -1.78      -0.82      -2.86    -419.80       0.00     -14.85       4.65   76096.71     233.50
2024  5 10 10  7 10 684      -1.32      -1.00      -2.72    -421.80       0.00     -14.74       4.50   77921.62     233.50
2024  5 10 10  7 57 394      -1.24      -1.28      -2.84    -423.90       0.00     -14.63       4.36   74055.29     233.50
2024  5 10 10  8 59 586      -1.17      -1.64      -3.38    -423.50       0.00     -14.43       4.32   72049.24     233.50
2024  5 10 10 10  7 726      -1.18      -2.02      -3.25    -422.30       0.00     -14.19       4.31   87137.90     233.50
2024  5 10 10 11 23  97      -1.22      -1.67      -3.29    -422.46       0.00     -18.37       4.28   78660.88     233.50
2024  5 10 10 12 35 497      -1.08      -1.92      -3.09    -423.96       0.00     -17.33       4.11   93301.14     233.50
2024  5 10 10 13 39 895      -1.18      -1.92      -3.31    -424.36       0.00      -4.32       3.66   90924.02     233.50
2024  5 10 10 14 51 408      -1.08      -1.80      -3.25    -424.60       0.00      -0.81       3.55   82111.52     233.50
2024  5 10 10 16  4 370      -1.14      -1.89      -2.96    -424.40       0.00      -1.47       3.57   75416.28     233.50
2024  5 10 10 16 40  47      -1.30      -2.36      -2.85    -423.61       0.00      -2.80       3.42   76976.54     233.50
2024  5 10 10 17 25 338      -1.31      -2.22      -2.90    -422.52       0.00      -4.54       3.49   77387.16     233.50
2024  5 10 10 18 39 712      -0.88      -2.13      -3.11    -421.24       0.00      -7.63       4.27   75776.02     233.50
2024  5 10 10 19 46 992      -0.74      -2.15      -3.07    -423.20       0.00      -8.59       5.16   72183.20     233.50
2024  5 10 10 20 50 759      -0.85      -2.38      -2.90    -421.80       0.00      -8.52       5.30   58800.73     233.50
2024  5 10 10 21 54 696      -1.03      -2.22      -2.93    -428.15       0.00      -8.44       5.40  123019.71     233.50
2024  5 10 10 22 53 164      -1.15      -1.88      -2.77    -428.28       0.00      -8.21       4.63  108484.62     233.50
2024  5 10 10 23 40  50      -1.17      -1.95      -2.63    -424.45       0.00      -7.66       4.69   96828.81     233.50
2024  5 10 10 24 25 487      -1.08      -2.31      -2.55    -421.39       0.00      -8.00       4.43   87348.62     233.50
2024  5 10 10 25 10  12      -1.11      -2.40      -2.78    -422.00       0.00      -8.96       3.97   82096.17     233.50
2024  5 10 10 26  2 995      -1.15      -2.42      -2.95    -423.10       0.00      -6.02       3.75   77183.42     233.50
2024  5 10 10 26 57 352      -1.08      -2.26      -3.05    -423.90       0.00      -3.84       4.47   73441.76     233.50
2024  5 10 10 27 47 916      -1.05      -2.28      -3.15    -425.40       0.00      -9.41       5.38   70621.61     233.50
2024  5 10 10 28 48 914      -1.13      -2.37      -3.19    -425.20       0.00      -8.79       5.56   68897.93     233.50
2024  5 10 10 29 58 377      -1.32      -2.10      -3.14    -423.80       0.00      -3.15       3.97   60797.99     233.50
2024  5 10 10 30 55 366      -1.41      -1.75      -3.13    -424.20       0.00      -1.42       3.33   59348.03     233.50
2024  5 10 10 31 50  33      -1.28      -1.51      -3.08    -425.10       0.00      -1.47       3.18   74393.99     233.50
2024  5 10 10 32 41 793      -1.02      -1.64      -2.89    -426.30       0.00      -6.25       3.10   80189.35     233.50
2024  5 10 10 34  1 426      -1.01      -1.57      -2.99    -423.30       0.00      -4.41       3.07   81789.91     233.50
2024  5 10 10 35 45 793      -1.01      -1.57      -3.03    -419.81       0.00       0.00       3.05   80722.92     233.50
2024  5 10 10 36 45 941      -1.09      -1.23      -3.09    -419.41       0.60      -0.35       3.75   76843.53     233.50
2024  5 10 10 37 38 456      -1.27      -1.42      -2.69    -420.46       0.60      -0.36       4.40   81669.80     233.50
2024  5 10 10 38 28 406      -1.27      -1.49      -2.53    -419.20       0.60      -0.32       4.38   79102.70     233.50
2024  5 10 10 39 18 420      -1.05      -1.16      -2.20    -420.70       0.60      -0.38       4.35   76576.50     233.50
2024  5 10 10 40  8 506      -1.04      -1.18      -2.58    -422.20       0.60      -0.30       4.35   76995.30     233.50
2024  5 10 10 40 58 670      -1.16      -1.35      -2.68    -423.70       0.60      -0.30       4.34   82479.41     233.50
2024  5 10 10 41 52 853      -1.47      -1.53      -2.69    -424.60       0.60      -0.30       4.08   79750.39     233.50
2024  5 10 10 43  7 387      -1.38      -1.32      -2.69    -422.40       0.60      -0.30       4.45   75355.60     233.50
2024  5 10 10 44 15  81      -1.32      -1.57      -2.94    -421.20       0.64      -0.34       4.48   75422.84     233.50
2024  5 10 10 44 39 463      -1.31      -2.00      -2.99    -440.66       0.66       0.00       4.34   75082.80     233.50
2024  5 10 10 47 16 697      -1.39      -1.85      -2.62    -430.30       0.62       0.00       3.80   68980.81     233.50
2024  5 10 10 49 11 575      -1.68      -1.91      -3.10    -421.80       0.60      -0.37       4.41   71716.30     233.50
