MIDL 32Re Data for 2024-05 (GSM nT, km/s, cm^-3, K)
year month day hour minute Bx By Bz Ux Uy Uz rho T B_interp Ux_interp Uyz_interp rho_interp T_interp
#START
2024  5 10  3  4    -1.46     4.20     3.34    -429.2     12.18     -2.98     8.843      49610    0    0    0    0    0
2024  5 10  3  5    -1.51     4.19     3.45    -429.2     11.90     -3.22     8.445      49610    0    1    1    0    1
2024  5 10  3  6    -1.70     3.79     3.59    -429.3     10.83     -3.66     7.879      50212    0    1    1    0    1
2024  5 10  3  7    -1.92     3.56     3.55    -429.4      9.04     -4.09     7.263      54291    0    1    1    0    1
2024  5 10  3  8    -1.58     3.61     3.46    -429.4      6.80     -9.69     6.754      56352    0    1    1    0    1
2024  5 10  3  9    -1.25     3.57     3.33    -429.4      6.17    -13.17     6.553      58511    0    1    1    0    1
2024  5 10  3 10    -1.23     3.61     2.96    -429.4      6.63    -14.03     6.613      60566    0    1    1    0    1
2024  5 10  3 11    -1.27     3.72     2.65    -429.4      6.07    -14.88     6.926      61047    0    1    1    0    1
2024  5 10  3 12    -1.33     3.83     2.45    -430.0      4.85    -15.79     7.883      60729    0    1    1    0    1
2024  5 10  3 13    -1.41     3.87     2.35    -429.5      4.50    -15.72     8.818      58339    0    0    0    1    1
2024  5 10  3 14    -1.59     3.94     2.06    -429.6      4.77    -15.39     9.702      54668    0    0    0    1    1
2024  5 10  3 15    -2.12     3.14     1.75    -429.9      4.28    -15.68    10.619      51362    0    1    1    1    1
2024  5 10  3 16    -2.38     2.28     1.58    -429.9      3.38    -16.22    11.551      49999    0    1    1    1    1
2024  5 10  3 17    -2.50     1.62    -0.38    -430.7      2.41    -16.80    12.057      47450    0    1    1    1    1
2024  5 10  3 18    -2.64     0.98    -1.41    -430.4      1.54    -17.32    12.338      45859    0    1    1    1    1
2024  5 10  3 19    -2.85    -0.88    -2.06    -430.1      0.67    -17.85    12.561      38772    0    1    1    1    1
2024  5 10  3 20    -2.98    -1.10    -2.61    -430.2     -0.27    -18.39    12.638      35302    0    1    1    1    1
2024  5 10  3 21    -2.17    -0.93    -2.83    -429.6     -1.09    -10.89    12.929      34986    0    1    1    1    1
2024  5 10  3 22    -1.78    -0.97    -2.96    -429.3     -0.07    -10.36    12.852      35961    0    1    1    1    1
2024  5 10  3 23    -1.82    -1.30    -3.52    -429.3      0.64    -12.49    12.949      36525    0    1    1    0    1
2024  5 10  3 24    -1.92    -1.90    -4.00    -429.9      1.37    -10.68    13.198      34523    0    1    1    0    1
2024  5 10  3 25    -1.50    -2.04    -4.12    -430.3      2.12    -10.50    12.591      33680    0    1    1    0    1
2024  5 10  3 26    -1.89    -2.01    -4.12    -430.3      2.54    -11.18    12.368      32669    0    0    0    0    0
2024  5 10  3 27    -2.10    -2.01    -4.15    -430.6      2.76    -11.42    11.963      32332    0    0    0    0    0
2024  5 10  3 28    -2.09    -2.03    -4.40    -429.7      2.80    -10.34    11.139      30737    0    0    0    0    0
2024  5 10  3 29    -2.13    -2.14    -4.77    -429.1      2.73     -9.65    10.615      28687    0    0    0    0    0
