MAG 16-second Averaged Interplanetary Magnetic Field Data, GSE
year doy hr min sec Bx By Bz 
2019 216  1 18 33.597    3.393    0.889   -0.133
2019 216  1 18 49.596    3.415    0.869   -0.166
2019 216  1 19  5.596    3.411    0.798   -0.102
2019 216  1 19 21.596    3.367    0.738   -0.036
2019 216  1 19 37.596    3.372    0.827   -0.071
2019 216  1 19 53.596    3.347    0.920   -0.080
2019 216  1 20  9.596    3.080    1.340    0.202
2019 216  1 20 25.596    3.166    1.175    0.106
2019 216  1 20 41.596    3.047    1.343    0.299
2019 216  1 20 57.596    2.961    1.492    0.484
2019 216  1 21 13.596    2.990    1.461    0.395
2019 216  1 21 29.596    3.143    1.328    0.240
2019 216  1 21 45.596    2.956    1.525    0.347
2019 216  1 22  1.596    2.824    1.685    0.273
2019 216  1 22 17.596    2.878    1.574    0.588
2019 216  1 22 33.596    2.754    1.609    0.739
2019 216  1 22 49.596    2.539    1.593    0.808
2019 216  1 23  5.596    2.352    1.660    1.107
2019 216  1 23 21.596    2.302    1.631    1.040
2019 216  1 23 37.596    2.569    1.353    0.613
2019 216  1 23 53.596    2.704    1.406    0.575
2019 216  1 24  9.596    2.541    1.404    0.858
2019 216  1 24 25.596    2.485    1.528    0.739
2019 216  1 24 41.596    2.210    1.766    1.041
2019 216  1 24 57.596    2.092    1.984    1.243
2019 216  1 25 13.596    2.015    2.030    1.287
2019 216  1 25 29.596    2.422    1.840    1.025
2019 216  1 25 45.596    2.533    1.782    0.868
2019 216  1 26  1.596    2.464    1.795    0.967
2019 216  1 26 17.596    2.291    1.742    1.044
2019 216  1 26 33.596    2.104    1.659    0.983
2019 216  1 26 49.596    2.582    1.489    0.474
2019 216  1 27  5.595    2.409    1.510    0.911
2019 216  1 27 21.595    2.487    1.590    0.777
2019 216  1 27 37.595    2.528    1.610    0.822
2019 216  1 27 53.595    2.524    1.594    0.900
2019 216  1 28  9.595    2.421    1.654    0.889
2019 216  1 28 25.595    2.253    1.703    0.854
2019 216  1 28 41.595    2.294    1.706    0.849
2019 216  1 28 57.595    2.296    1.735    0.908
2019 216  1 29 13.595    2.305    1.777    0.885
2019 216  1 29 29.595    2.279    1.742    0.974
2019 216  1 29 45.595    2.191    1.757    1.041
2019 216  1 30  1.595    2.311    1.763    0.875
2019 216  1 30 17.595    2.320    1.774    0.893
2019 216  1 30 33.595    2.319    1.827    0.957
2019 216  1 30 49.595    2.382    1.823    0.911
2019 216  1 31  5.595    2.436    1.757    0.892
2019 216  1 31 21.595    2.442    1.756    0.877
2019 216  1 31 37.595    2.409    1.732    0.911
2019 216  1 31 53.595    2.343    1.779    0.909
2019 216  1 32  9.595    2.423    1.746    0.888
2019 216  1 32 25.595    2.489    1.567    0.847
2019 216  1 32 41.595    2.518    1.571    0.794
2019 216  1 32 57.595    2.532    1.612    0.815
2019 216  1 33 13.595    2.532    1.683    0.844
2019 216  1 33 29.595    2.533    1.764    0.881
2019 216  1 33 45.595    2.463    1.774    0.936
2019 216  1 34  1.595    2.405    1.711    0.841
2019 216  1 34 17.595    2.372    1.750    0.881
2019 216  1 34 33.595    2.307    1.735    0.889
2019 216  1 34 49.595    2.327    1.779    0.915
2019 216  1 35  5.595    2.325    1.800    0.962
2019 216  1 35 21.595    2.268    1.711    0.976
2019 216  1 35 37.594    2.289    1.667    0.992
2019 216  1 35 53.594    2.337    1.677    0.912
2019 216  1 36  9.594    2.321    1.683    0.729
2019 216  1 36 25.594    2.339    1.657    0.811
2019 216  1 36 41.594    2.315    1.720    0.724
2019 216  1 36 57.594    2.293    1.768    0.736
2019 216  1 37 13.594    2.275    1.732    0.847
2019 216  1 37 29.594    2.258    1.743    0.818
2019 216  1 37 45.594    2.335    1.706    0.945
2019 216  1 38  1.594    2.312    1.744    0.981
2019 216  1 38 17.594    2.270    1.744    0.991
2019 216  1 38 33.594    2.308    1.789    0.982
2019 216  1 38 49.594    2.390    1.839    0.622
2019 216  1 39  5.594    2.403    1.835    0.752
2019 216  1 39 21.594    2.439    1.816    0.778
2019 216  1 39 37.594    2.427    1.843    0.788
2019 216  1 39 53.594    2.377    1.857    0.792
2019 216  1 40  9.594    2.427    1.789    0.826
2019 216  1 40 25.594    2.433    1.830    0.780
2019 216  1 40 41.594    2.449    1.761    0.825
2019 216  1 40 57.594    2.503    1.715    0.867
2019 216  1 41 13.594    2.503    1.735    0.870
2019 216  1 41 29.594    2.313    1.790    0.794
2019 216  1 41 45.594    2.210    1.800    0.761
2019 216  1 42  1.594    2.227    1.785    0.778
2019 216  1 42 17.594    2.176    1.792    0.756
2019 216  1 42 33.594    2.357    1.611    0.884
2019 216  1 42 49.594    2.301    1.684    0.933
2019 216  1 43  5.594    2.110    1.725    0.866
2019 216  1 43 21.594    1.959    1.822    0.763
2019 216  1 43 37.594    1.969    1.803    0.824
2019 216  1 43 53.593    1.989    1.773    0.868
2019 216  1 44  9.593    2.029    1.809    0.886
2019 216  1 44 25.593    1.937    1.809    0.808
2019 216  1 44 41.593    1.952    1.853    0.635
2019 216  1 44 57.593    1.929    1.865    0.619
2019 216  1 45 13.593    2.064    1.786    0.659
2019 216  1 45 29.593    2.155    1.794    0.690
2019 216  1 45 45.593    2.190    1.807    0.695
2019 216  1 46  1.593    2.209    1.781    0.707
2019 216  1 46 17.593    2.117    1.774    0.724
2019 216  1 46 33.593    2.183    1.766    0.706
2019 216  1 46 49.593    2.146    1.706    0.716
2019 216  1 47  5.593    2.112    1.701    0.694
2019 216  1 47 21.593    2.214    1.673    0.714
2019 216  1 47 37.593    2.159    1.710    0.722
2019 216  1 47 53.593    2.040    1.756    0.750
2019 216  1 48  9.593    2.100    1.791    0.842
2019 216  1 48 25.593    2.027    1.763    0.833
2019 216  1 48 41.593    2.017    1.789    0.747
2019 216  1 48 57.593    2.164    1.669    0.547
2019 216  1 49 13.593    2.228    1.558    0.360
2019 216  1 49 29.593    2.196    1.665    0.491
2019 216  1 49 45.593    2.060    1.742    0.557
2019 216  1 50  1.593    2.000    1.768    0.706
2019 216  1 50 17.593    2.023    1.718    0.706
2019 216  1 50 33.593    2.080    1.714    0.663
2019 216  1 50 49.593    2.142    1.681    0.561
2019 216  1 51  5.593    2.157    1.623    0.537
2019 216  1 51 21.593    2.103    1.639    0.552
2019 216  1 51 37.593    2.098    1.624    0.610
2019 216  1 51 53.593    2.000    1.667    0.646
2019 216  1 52  9.592    1.868    1.863    0.617
2019 216  1 52 25.592    2.143    1.707    0.759
2019 216  1 52 41.592    2.348    1.665    0.662
2019 216  1 52 57.592    2.397    1.613    0.635
2019 216  1 53 13.592    2.303    1.723    0.640
2019 216  1 53 29.592    2.302    1.721    0.743
2019 216  1 53 45.592    2.243    1.666    0.860
2019 216  1 54  1.592    2.247    1.513    0.678
2019 216  1 54 17.592    2.285    1.442    0.791
2019 216  1 54 33.592    2.297    1.457    0.845
2019 216  1 54 49.592    2.264    1.508    0.855
2019 216  1 55  5.592    2.229    1.515    0.892
2019 216  1 55 21.592    2.165    1.597    0.931
2019 216  1 55 37.592    2.168    1.537    0.820
2019 216  1 55 53.592    2.267    1.531    0.891
2019 216  1 56  9.592    2.229    1.532    0.878
2019 216  1 56 25.592    2.437    1.364    0.700
2019 216  1 56 41.592    2.534    1.197    0.691
2019 216  1 56 57.592    2.478    1.302    0.567
2019 216  1 57 13.592    2.409    1.336    0.568
2019 216  1 57 29.592    2.478    1.212    0.544
2019 216  1 57 45.592    2.440    1.270    0.618
2019 216  1 58  1.592    2.506    1.253    0.661
2019 216  1 58 17.592    2.687    0.999    0.802
2019 216  1 58 33.592    2.616    1.198    0.758
2019 216  1 58 49.592    2.501    1.311    0.672
2019 216  1 59  5.592    2.445    1.415    0.654
2019 216  1 59 21.592    2.743    1.123    0.671
2019 216  1 59 37.592    2.876    0.814    0.543
2019 216  1 59 53.592    3.082    0.427    0.640
2019 216  2  0  9.592    3.092    0.135    0.583
2019 216  2  0 25.592    2.948    0.378    0.568
2019 216  2  0 41.591    3.080    0.459    0.625
2019 216  2  0 57.591    3.169    0.567    0.607
2019 216  2  1 13.591    3.131    0.567    0.522
2019 216  2  1 29.591    3.151    0.505    0.470
2019 216  2  1 45.591    3.184    0.432    0.391
2019 216  2  2  1.591    3.112    0.381    0.325
2019 216  2  2 17.591    3.129    0.414    0.351
2019 216  2  2 33.591    3.026    0.405    0.376
2019 216  2  2 49.591    3.075    0.402    0.422
2019 216  2  3  5.591    3.084    0.486    0.436
2019 216  2  3 21.591    3.015    0.527    0.401
2019 216  2  3 37.591    3.027    0.390    0.420
2019 216  2  3 53.591    3.098    0.425    0.401
2019 216  2  4  9.591    3.091    0.427    0.431
2019 216  2  4 25.591    3.149    0.470    0.469
2019 216  2  4 41.591    3.154    0.503    0.445
2019 216  2  4 57.591    3.127    0.524    0.436
2019 216  2  5 13.591    3.118    0.429    0.378
2019 216  2  5 29.591    3.103    0.424    0.351
2019 216  2  5 45.591    3.111    0.452    0.293
2019 216  2  6  1.591    3.068    0.463    0.278
2019 216  2  6 17.591    3.104    0.533    0.287
2019 216  2  6 33.591    3.035    0.527    0.273
2019 216  2  6 49.591    2.972    0.419    0.145
2019 216  2  7  5.591    3.211    0.313    0.174
2019 216  2  7 21.591    3.154    0.288    0.202
2019 216  2  7 37.591    2.975    0.375    0.163
2019 216  2  7 53.591    2.993    0.325    0.234
2019 216  2  8  9.591    2.959    0.444    0.257
2019 216  2  8 25.591    2.920    0.314    0.307
2019 216  2  8 41.591    2.960    0.432    0.280
2019 216  2  8 57.590    2.943    0.382    0.318
2019 216  2  9 13.590    2.861    0.251    0.338
2019 216  2  9 29.590    3.006    0.260    0.339
2019 216  2  9 45.590    3.023    0.240    0.374
2019 216  2 10  1.590    2.987    0.175    0.378
2019 216  2 10 17.590    2.935    0.086    0.440
2019 216  2 10 33.590    2.919    0.160    0.507
2019 216  2 10 49.590    2.932    0.132    0.552
2019 216  2 11  5.590    2.935    0.117    0.581
2019 216  2 11 21.590    2.930    0.331    0.711
2019 216  2 11 37.590    2.959    0.375    0.665
2019 216  2 11 53.590    2.968    0.397    0.679
2019 216  2 12  9.590    2.924    0.384    0.675
2019 216  2 12 25.590    2.846    0.760    0.540
2019 216  2 12 41.590    2.566    0.853    0.553
2019 216  2 12 57.590    2.771    0.521    0.716
2019 216  2 13 13.590    2.856    0.477    0.780
2019 216  2 13 29.590    2.757    0.530    0.760
2019 216  2 13 45.590    2.785    0.305    0.849
2019 216  2 14  1.590    2.789    0.425    0.782
2019 216  2 14 17.590    2.459    1.094    0.869
2019 216  2 14 33.590    2.421    1.261    0.889
2019 216  2 14 49.590    2.366    1.455    0.762
2019 216  2 15  5.590    2.200    1.387    1.039
2019 216  2 15 21.590    2.360    1.388    0.933
2019 216  2 15 37.590    2.352    1.483    0.806
2019 216  2 15 53.590    2.268    1.519    0.795
2019 216  2 16  9.590    2.137    1.559    0.851
2019 216  2 16 25.590    2.240    1.666    0.716
2019 216  2 16 41.590    2.203    1.740    0.860
2019 216  2 16 57.590    2.222    1.725    0.908
2019 216  2 17 13.590    2.373    1.739    0.911
2019 216  2 17 29.589    2.296    1.757    1.120
2019 216  2 17 45.589    2.341    1.771    1.045
2019 216  2 18  1.589    2.290    1.869    1.001
2019 216  2 18 17.589    2.196    1.924    0.997
2019 216  2 18 33.589    2.342    1.756    1.017
2019 216  2 18 49.589    2.512    1.670    0.990
2019 216  2 19  5.589    2.249    1.917    0.950
2019 216  2 19 21.589    2.092    2.062    0.871
2019 216  2 19 37.589    2.080    2.091    0.945
2019 216  2 19 53.589    2.096    2.024    0.971
2019 216  2 20  9.589    2.153    1.942    0.899
2019 216  2 20 25.589    2.181    1.816    0.792
2019 216  2 20 41.589    2.248    1.769    0.921
2019 216  2 20 57.589    2.057    1.736    0.240
2019 216  2 21 13.589    2.037    1.660    0.458
2019 216  2 21 29.589    2.040    1.631    0.636
2019 216  2 21 45.589    2.186    1.660    0.693
2019 216  2 22  1.589    2.344    1.637    0.652
2019 216  2 22 17.589    2.473    1.585    0.618
2019 216  2 22 33.589    2.520    1.546    0.777
2019 216  2 22 49.589    2.605    1.424    0.789
2019 216  2 23  5.589    2.467    1.358    1.153
2019 216  2 23 21.589    2.389    1.263    1.347
2019 216  2 23 37.589    2.420    1.150    1.351
2019 216  2 23 53.589    2.370    1.369    1.137
