SWEPAM 64-second Averaged Solar Wind Ion Parameters (GSE, /cc, K, km/s, km)
year doy hr min sec rho T ux uy uz x y z
2017 147  1 56 41.000  -9999.900  1.6389e+04   -298.05    -13.80      6.00  1.5893e+06 -4.7388e+04  1.4205e+05
2017 147  1 57 45.000  -9999.900  1.9385e+04   -297.48    -14.82      4.94  1.5893e+06 -4.7393e+04  1.4206e+05
2017 147  1 58 49.000  -9999.900 -9.9999e+03   -295.52    -14.99      5.05  1.5893e+06 -4.7399e+04  1.4206e+05
2017 147  1 59 53.000  -9999.900  1.9641e+04   -296.03    -18.14      5.28  1.5893e+06 -4.7405e+04  1.4206e+05
2017 147  2  0 57.000  -9999.900  1.8825e+04   -298.40    -14.26      3.43  1.5893e+06 -4.7410e+04  1.4206e+05
2017 147  2  2  1.000  -9999.900  1.8251e+04   -295.44    -17.40      5.72  1.5893e+06 -4.7416e+04  1.4206e+05
2017 147  2  3  5.000  -9999.900  1.4652e+04   -296.09    -16.32      6.04  1.5893e+06 -4.7422e+04  1.4207e+05
2017 147  2  4  9.000  -9999.900  1.9307e+04   -294.96    -14.52      4.22  1.5893e+06 -4.7427e+04  1.4207e+05
2017 147  2  5 13.000  -9999.900  1.9278e+04   -296.45    -17.13      5.01  1.5893e+06 -4.7433e+04  1.4207e+05
2017 147  2  6 17.000  -9999.900  1.5272e+04   -293.10    -14.20      5.01  1.5893e+06 -4.7439e+04  1.4207e+05
2017 147  2  7 21.000  -9999.900  1.7616e+04   -294.11    -15.93      6.18  1.5893e+06 -4.7444e+04  1.4207e+05
2017 147  2  8 25.000  -9999.900  2.0577e+04   -292.17    -14.09      4.83  1.5893e+06 -4.7450e+04  1.4207e+05
2017 147  2  9 29.000  -9999.900  1.9020e+04   -295.55    -15.78      4.54  1.5893e+06 -4.7456e+04  1.4208e+05
2017 147  2 10 33.000  -9999.900  2.0502e+04   -296.07    -13.74      4.57  1.5893e+06 -4.7462e+04  1.4208e+05
2017 147  2 11 37.000  -9999.900 -9.9999e+03  -9999.90  -9999.90  -9999.90  1.5893e+06 -4.7467e+04  1.4208e+05
2017 147  2 12 41.000  -9999.900  1.9747e+04   -296.18    -11.29      5.24  1.5893e+06 -4.7473e+04  1.4208e+05
2017 147  2 13 45.000  -9999.900  2.0404e+04   -293.88    -10.16      4.53  1.5893e+06 -4.7479e+04  1.4208e+05
2017 147  2 14 49.000  -9999.900  2.0728e+04   -297.95    -12.80      4.51  1.5893e+06 -4.7484e+04  1.4208e+05
2017 147  2 15 53.000  -9999.900  1.6784e+04   -296.33    -15.37      6.28  1.5893e+06 -4.7490e+04  1.4209e+05
2017 147  2 16 57.000  -9999.900  2.0097e+04   -297.48    -14.26      5.61  1.5893e+06 -4.7496e+04  1.4209e+05
2017 147  2 18  1.000  -9999.900  1.3836e+04   -295.99    -16.14      4.43  1.5893e+06 -4.7501e+04  1.4209e+05
2017 147  2 19  5.000  -9999.900  1.9930e+04   -300.02    -13.62      3.98  1.5893e+06 -4.7507e+04  1.4209e+05
2017 147  2 20  9.000  -9999.900  1.4981e+04   -296.28    -15.79      5.33  1.5893e+06 -4.7513e+04  1.4209e+05
2017 147  2 21 13.000  -9999.900  1.5245e+04   -292.91    -16.25      5.66  1.5893e+06 -4.7518e+04  1.4209e+05
2017 147  2 22 17.000  -9999.900  1.3481e+04   -293.35    -16.53      5.38  1.5893e+06 -4.7524e+04  1.4210e+05
2017 147  2 23 21.000  -9999.900  1.5833e+04   -292.35    -14.51      4.29  1.5893e+06 -4.7530e+04  1.4210e+05
2017 147  2 24 25.000  -9999.900  1.5300e+04   -293.66    -16.85      4.95  1.5893e+06 -4.7535e+04  1.4210e+05
2017 147  2 25 29.000  -9999.900  1.7935e+04   -293.39    -18.53      4.38  1.5893e+06 -4.7541e+04  1.4210e+05
2017 147  2 26 33.000  -9999.900  1.7973e+04   -294.95    -16.14      4.42  1.5893e+06 -4.7547e+04  1.4210e+05
2017 147  2 27 37.000  -9999.900  1.9376e+04   -294.98    -14.02      3.68  1.5893e+06 -4.7552e+04  1.4211e+05
2017 147  2 28 41.000  -9999.900  1.4037e+04   -293.04    -14.27      4.65  1.5893e+06 -4.7558e+04  1.4211e+05
2017 147  2 29 45.000  -9999.900  1.5058e+04   -294.94    -13.24      6.45  1.5893e+06 -4.7564e+04  1.4211e+05
2017 147  2 30 49.000  -9999.900  1.5197e+04   -293.68    -11.70      5.47  1.5893e+06 -4.7569e+04  1.4211e+05
2017 147  2 31 53.000  -9999.900  1.6681e+04   -294.23    -12.22      6.28  1.5893e+06 -4.7575e+04  1.4211e+05
2017 147  2 32 57.000  -9999.900  1.9799e+04   -296.75    -15.84      5.19  1.5893e+06 -4.7581e+04  1.4211e+05
2017 147  2 34  1.000  -9999.900  1.6038e+04   -293.46    -13.08      4.94  1.5893e+06 -4.7586e+04  1.4212e+05
2017 147  2 35  5.000  -9999.900  1.5245e+04   -289.65    -14.29      5.35  1.5893e+06 -4.7592e+04  1.4212e+05
2017 147  2 36  9.000  -9999.900  1.8350e+04   -294.51    -10.52      4.58  1.5893e+06 -4.7598e+04  1.4212e+05
2017 147  2 37 13.000  -9999.900  1.8683e+04   -291.63    -14.49      4.26  1.5893e+06 -4.7603e+04  1.4212e+05
2017 147  2 38 17.000  -9999.900  1.7939e+04   -292.71    -10.79      4.87  1.5893e+06 -4.7609e+04  1.4212e+05
2017 147  2 39 21.000  -9999.900  1.6339e+04   -290.01     -7.42      9.18  1.5893e+06 -4.7615e+04  1.4212e+05
2017 147  2 40 25.000  -9999.900  2.1583e+04   -290.73     -8.51      8.38  1.5893e+06 -4.7621e+04  1.4213e+05
2017 147  2 41 29.000  -9999.900  1.5011e+04   -294.63    -13.97      6.04  1.5893e+06 -4.7626e+04  1.4213e+05
2017 147  2 42 33.000  -9999.900  1.8566e+04   -292.88    -11.14      5.98  1.5893e+06 -4.7632e+04  1.4213e+05
2017 147  2 43 37.000  -9999.900  1.6986e+04   -292.58    -10.57      4.62  1.5893e+06 -4.7638e+04  1.4213e+05
2017 147  2 44 41.000  -9999.900 -9.9999e+03  -9999.90  -9999.90  -9999.90  1.5893e+06 -4.7643e+04  1.4213e+05
2017 147  2 45 45.000  -9999.900  2.0498e+04   -294.06    -11.91      5.96  1.5893e+06 -4.7649e+04  1.4213e+05
2017 147  2 46 49.000  -9999.900  1.6202e+04   -293.50    -12.53      5.08  1.5893e+06 -4.7655e+04  1.4214e+05
2017 147  2 47 53.000  -9999.900  1.8920e+04   -293.82    -13.14      6.39  1.5893e+06 -4.7660e+04  1.4214e+05
2017 147  2 48 57.000  -9999.900  1.8363e+04   -292.93    -15.49      7.56  1.5893e+06 -4.7666e+04  1.4214e+05
2017 147  2 50  1.000  -9999.900  1.7341e+04   -293.18    -15.94      6.15  1.5893e+06 -4.7672e+04  1.4214e+05
2017 147  2 51  5.000  -9999.900  1.7480e+04   -292.78    -16.11      5.34  1.5893e+06 -4.7677e+04  1.4214e+05
2017 147  2 52  9.000  -9999.900  1.5423e+04   -293.48    -14.90      6.33  1.5893e+06 -4.7683e+04  1.4215e+05
2017 147  2 53 13.000  -9999.900  2.1461e+04   -291.76    -16.20      3.62  1.5893e+06 -4.7689e+04  1.4215e+05
2017 147  2 54 17.000  -9999.900  2.0130e+04   -291.54    -14.29      5.31  1.5893e+06 -4.7694e+04  1.4215e+05
2017 147  2 55 21.000  -9999.900  1.8650e+04   -291.77    -14.34      3.99  1.5893e+06 -4.7700e+04  1.4215e+05
2017 147  2 56 25.000  -9999.900  1.5671e+04   -292.92    -14.76      4.15  1.5893e+06 -4.7706e+04  1.4215e+05
2017 147  2 57 29.000  -9999.900  1.9468e+04   -290.48    -17.90      7.19  1.5893e+06 -4.7711e+04  1.4215e+05
2017 147  2 58 33.000  -9999.900  1.5973e+04   -292.78    -15.49      4.16  1.5893e+06 -4.7717e+04  1.4216e+05
2017 147  2 59 37.000  -9999.900  1.9198e+04   -294.75    -14.13      5.90  1.5893e+06 -4.7723e+04  1.4216e+05
2017 147  3  0 41.000  -9999.900  1.8904e+04   -293.05    -13.07      6.15  1.5893e+06 -4.7728e+04  1.4216e+05
2017 147  3  1 45.000  -9999.900  1.6681e+04   -290.20    -13.32      5.81  1.5893e+06 -4.7734e+04  1.4216e+05
2017 147  3  2 49.000  -9999.900  1.9938e+04   -294.75    -13.96      5.95  1.5893e+06 -4.7740e+04  1.4216e+05
2017 147  3  3 53.000  -9999.900  1.6002e+04   -292.66    -12.95      5.42  1.5893e+06 -4.7745e+04  1.4216e+05
2017 147  3  4 57.000  -9999.900  1.7724e+04   -293.30    -11.28      6.18  1.5893e+06 -4.7751e+04  1.4217e+05
2017 147  3  6  1.000  -9999.900  1.9810e+04   -293.75    -14.04      5.55  1.5893e+06 -4.7757e+04  1.4217e+05
2017 147  3  7  5.000  -9999.900  1.8606e+04   -294.81    -11.73      5.37  1.5893e+06 -4.7762e+04  1.4217e+05
2017 147  3  8  9.000  -9999.900  1.6257e+04   -293.55    -14.35      6.71  1.5893e+06 -4.7768e+04  1.4217e+05
2017 147  3  9 13.000  -9999.900  1.7063e+04   -293.23    -15.37      5.98  1.5893e+06 -4.7774e+04  1.4217e+05
2017 147  3 10 17.000  -9999.900  1.5041e+04   -290.24    -14.36      5.64  1.5893e+06 -4.7780e+04  1.4217e+05
2017 147  3 11 21.000  -9999.900  1.4382e+04   -292.47    -11.57      6.02  1.5893e+06 -4.7785e+04  1.4218e+05
2017 147  3 12 25.000  -9999.900  1.7522e+04   -291.17    -16.41      7.01  1.5893e+06 -4.7791e+04  1.4218e+05
2017 147  3 13 29.000  -9999.900  1.4985e+04   -291.24    -14.60      7.47  1.5893e+06 -4.7797e+04  1.4218e+05
2017 147  3 14 33.000  -9999.900  2.0215e+04   -292.79     -9.33      5.23  1.5893e+06 -4.7802e+04  1.4218e+05
2017 147  3 15 37.000  -9999.900  1.3492e+04   -291.71    -12.54      6.21  1.5893e+06 -4.7808e+04  1.4218e+05
2017 147  3 16 41.000  -9999.900  1.6779e+04   -293.43    -12.59      6.15  1.5893e+06 -4.7814e+04  1.4219e+05
2017 147  3 17 45.000  -9999.900 -9.9999e+03  -9999.90  -9999.90  -9999.90  1.5893e+06 -4.7819e+04  1.4219e+05
2017 147  3 18 49.000  -9999.900  1.4199e+04   -292.13    -11.84      6.70  1.5893e+06 -4.7825e+04  1.4219e+05
2017 147  3 19 53.000  -9999.900  1.5896e+04   -292.64    -16.57      7.36  1.5893e+06 -4.7831e+04  1.4219e+05
2017 147  3 20 57.000  -9999.900  1.8239e+04   -293.76    -14.86      6.15  1.5893e+06 -4.7836e+04  1.4219e+05
2017 147  3 22  1.000  -9999.900 -9.9999e+03  -9999.90  -9999.90  -9999.90  1.5893e+06 -4.7842e+04  1.4219e+05
2017 147  3 23  5.000  -9999.900  1.7802e+04   -294.10     -5.90      3.33  1.5893e+06 -4.7848e+04  1.4220e+05
2017 147  3 24  9.000  -9999.900  1.4880e+04   -295.17     -9.08      3.68  1.5893e+06 -4.7853e+04  1.4220e+05
2017 147  3 25 13.000  -9999.900  1.4763e+04   -294.61     -6.58      4.52  1.5893e+06 -4.7859e+04  1.4220e+05
2017 147  3 26 17.000  -9999.900  1.5696e+04   -291.75     -7.47      3.54  1.5893e+06 -4.7865e+04  1.4220e+05
2017 147  3 27 21.000  -9999.900  1.6390e+04   -291.72     -9.28      3.75  1.5893e+06 -4.7870e+04  1.4220e+05
2017 147  3 28 25.000  -9999.900  1.6253e+04   -293.53     -8.01      2.42  1.5893e+06 -4.7876e+04  1.4220e+05
2017 147  3 29 29.000  -9999.900  1.3351e+04   -295.41     -6.70      3.34  1.5893e+06 -4.7882e+04  1.4221e+05
