Initial OMNI file

#COORDINATES
GSE

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T
#START
2017 09 06 20 22 00 000        -0.18        -2.01        -0.02      -400.80        -8.80        26.10         2.44     26175.00
2017 09 06 20 23 00 000         0.15        -2.08        -0.12      -400.80        -8.80        26.10         2.44     26188.00
2017 09 06 20 24 00 000         0.28        -2.17         0.43      -396.40        -7.70        26.70         2.52     28489.00
2017 09 06 20 25 00 000         0.49        -2.00         0.76      -396.40        -7.70        26.70         2.52     28489.00
2017 09 06 20 26 00 000         0.38        -1.54         1.36      -392.30         0.20        32.70         2.64     51234.00
2017 09 06 20 27 00 000         0.10        -1.29         1.51      -396.90         1.00        37.30         2.65     35615.00
2017 09 06 20 28 00 000        -0.08        -0.49         2.04      -398.30         1.30        38.70         2.65     30901.00
2017 09 06 20 29 00 000        -0.27        -2.01        -0.46      -399.90       -13.00        20.30         2.20     26065.00
2017 09 06 20 30 00 000        -0.36        -2.23        -0.45      -401.50       -17.00        21.40         2.13     23746.00
2017 09 06 20 31 00 000        -0.43        -2.27        -0.38      -402.50       -20.30        22.20         2.12     18528.00
2017 09 06 20 32 00 000        -0.36        -2.30        -0.30      -402.50       -20.30        22.20         2.12     18528.00
2017 09 06 20 33 00 000        -0.31        -2.29        -0.48      -401.00       -20.00        21.50         2.11     18845.00
2017 09 06 20 34 00 000        -0.36        -2.02        -1.02      -399.70       -19.60        21.20         2.09     19327.00
2017 09 06 20 35 00 000        -0.40        -2.15         0.03      -404.10       -18.00        32.30         2.05     24000.00
2017 09 06 20 36 00 000        -0.44        -2.35        -0.17      -404.30       -17.40        31.20         2.08     24558.00
2017 09 06 20 37 00 000        -0.30        -2.27         0.63      -404.40       -16.00        26.40         2.19     25674.00
2017 09 06 20 38 00 000        -0.23        -2.33         0.27      -403.50       -14.00        28.30         2.10     22819.00
2017 09 06 20 39 00 000        -0.51        -2.28         0.49      -403.00       -13.00        29.30         2.06     21383.00
2017 09 06 20 40 00 000        -0.31        -2.38         0.33      -402.40       -13.50        26.70         2.33     20934.00
2017 09 06 20 41 00 000        -0.16        -2.35         0.34      -402.50       -13.70        26.70         2.32     20960.00
2017 09 06 20 42 00 000        -0.49        -2.46         0.22      -403.80       -16.70        26.30         2.10     21383.00
2017 09 06 20 43 00 000        -0.64        -2.33         0.55      -407.50       -18.30        28.90         2.04     17482.00
2017 09 06 20 44 00 000        -0.44        -2.28         0.64      -407.10       -18.70        30.00         1.98     16974.00
2017 09 06 20 45 00 000        -0.91        -2.31         0.67      -406.90       -18.40        30.90         1.97     17894.00
2017 09 06 20 46 00 000        -1.00        -2.21         0.81      -411.60       -17.80        28.90         1.93     17702.00
2017 09 06 20 47 00 000        -0.77        -2.37         0.60      -412.10       -17.90        28.50         1.93     17305.00
2017 09 06 20 48 00 000        -0.88        -2.31         0.44      -411.60       -18.30        28.20         1.96     17473.00
2017 09 06 20 49 00 000        -1.03        -2.25         0.30      -413.90       -16.90        25.80         2.04     16111.00
2017 09 06 20 50 00 000        -1.05        -2.24         0.30      -413.40       -17.20        26.20         2.02     15896.00
2017 09 06 20 51 00 000        -1.08        -2.16         0.38      -413.10       -17.40        27.00         2.01     16249.00
2017 09 06 20 52 00 000        -1.13        -2.20         0.36      -415.00       -16.70        27.50         2.06     18892.00
2017 09 06 20 53 00 000        -1.18        -2.22         0.40      -415.00       -16.80        28.70         2.03     17905.00
2017 09 06 20 54 00 000        -1.21        -2.12         0.46      -417.50       -16.70        27.40         1.97     15366.00
2017 09 06 20 55 00 000        -1.12        -2.09         0.53      -417.40       -16.50        28.50         2.02     15963.00
2017 09 06 20 56 00 000        -1.24        -2.04         0.48      -417.00       -16.40        29.50         2.07     16671.00
2017 09 06 20 57 00 000        -1.16        -2.10         0.48      -415.60       -14.20        26.40         1.96     15295.00
2017 09 06 20 58 00 000        -1.17        -2.13         0.50      -415.90       -15.50        28.60         2.16     17148.00
2017 09 06 20 59 00 000        -1.28        -2.16         0.47      -416.60       -16.30        29.20         2.26     17501.00
2017 09 06 21 00 00 000        -1.34        -2.20         0.33      -418.60       -16.80        27.30         2.25     15740.00
2017 09 06 21 01 00 000        -1.52        -2.16         0.22      -418.90       -15.80        29.10         2.44     17452.00
2017 09 06 21 02 00 000        -1.52        -2.15         0.30      -420.00       -15.40        29.90         2.53     18504.00
2017 09 06 21 03 00 000        -1.46        -2.22         0.34      -420.00       -15.40        29.90         2.53     18528.00
2017 09 06 21 04 00 000        -1.21        -2.46         0.38      -413.80       -17.10        27.10         2.29     15878.00
2017 09 06 21 05 00 000        -1.36        -2.35         0.40      -414.70       -16.60        27.40         2.28     15966.00
2017 09 06 21 06 00 000        -1.43        -2.32         0.31      -416.00       -15.60        27.50         2.28     16554.00
2017 09 06 21 07 00 000        -1.51        -2.23         0.30      -418.30       -12.00        25.30         2.36     20706.00
2017 09 06 21 08 00 000        -1.46        -2.29         0.23      -418.30       -12.00        25.30         2.36     20706.00
2017 09 06 21 09 00 000        -1.37        -2.29         0.16      -418.40       -13.20        20.50         2.04     16272.00
2017 09 06 21 10 00 000        -1.60        -2.30         0.11      -419.30       -13.20        21.10         2.24     18149.00
2017 09 06 21 11 00 000        -1.75        -2.28         0.19      -419.90       -13.00        23.40         2.37     18572.00
2017 09 06 21 12 00 000        -1.71        -2.19         0.22      -419.50       -12.80        23.10         2.54     23131.00
2017 09 06 21 13 00 000        -1.66        -2.18         0.16      -419.40       -11.40        23.70         2.38     22678.00
2017 09 06 21 14 00 000        -1.45        -2.32        -0.03      -419.50       -10.30        24.60         2.23     21547.00
2017 09 06 21 15 00 000        -1.93        -1.98         0.03      -421.40       -11.00        24.40         2.58     23906.00
2017 09 06 21 16 00 000        -2.18        -1.68         0.23      -423.50        -8.50        24.90         2.62     23545.00
