Corrected IMF based on L1.dat
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
2018 04 19 03 01 21 376       0.60       2.01      -0.89    -290.90     -20.80       4.20       6.13     15187.00
2018 04 19 03 02 25 672       0.60       1.92      -0.87    -290.60     -20.80       4.20       6.14     15180.00
2018 04 19 03 02 34 698       0.66       1.93      -0.60    -294.20      12.00      -4.40       6.80     14647.00
2018 04 19 03 03 00  28       0.64       2.05      -0.98    -296.70      45.00     -14.20       6.59     15210.00
2018 04 19 03 04 02 780       0.48       2.11      -1.02    -296.50      44.20     -11.80       6.66     14955.00
2018 04 19 03 05 01 403       0.66       2.05      -0.77    -296.60      43.20     -12.20       6.89     14819.00
2018 04 19 03 06 02 780       0.65       2.04      -0.94    -296.50      44.50     -12.60       6.70     14714.00
2018 04 19 03 07 08 295       0.61       2.02      -1.07    -296.10      44.60     -13.50       6.65     14634.00
2018 04 19 03 09 14 236       0.54       1.92      -1.04    -291.40     -20.70       4.20       6.78     14559.00
2018 04 19 03 10 24 239       0.39       1.95      -1.03    -290.70     -20.70       4.20       6.84     14008.00
2018 04 19 03 11 19 946       0.40       1.87      -1.18    -291.00     -20.70       4.20       6.83     14340.00
2018 04 19 03 12 24 239       0.45       1.90      -1.09    -290.70     -20.70       4.20       7.02     14338.00
2018 04 19 03 13 25 672       0.37       1.94      -0.96    -290.60     -20.70       4.20       6.88     14132.00
2018 04 19 03 14 24 239       0.44       1.84      -1.08    -290.70     -20.70       4.20       6.89     14130.00
2018 04 19 03 15 27 106       0.45       1.96      -1.23    -290.50     -20.70       4.20       6.77     14567.00
2018 04 19 03 16 29 977       0.41       1.94      -1.29    -290.30     -20.70       4.20       6.69     14407.00
2018 04 19 03 17 24 239       0.46       1.89      -1.35    -290.70     -20.70       4.20       6.72     14654.00
2018 04 19 03 18 15 662       0.44       1.85      -1.40    -291.30     -20.60       4.20       6.39     14632.00
2018 04 19 03 19 18 517       0.43       1.80      -1.32    -291.10     -20.70       4.20       6.76     14561.00
2018 04 19 03 20 22 807       0.63       1.92      -1.23    -290.80     -20.70       4.20       6.57     14539.00
2018 04 19 03 21 21 376       0.66       1.88      -1.27    -290.90     -20.70       4.20       6.60     14550.00
2018 04 19 03 22 27 106       0.66       1.91      -1.35    -290.50     -20.70       4.20       6.41     14678.00
2018 04 19 03 23 24 239       0.61       1.79      -1.40    -290.70     -20.60       4.20       6.18     14780.50
2018 04 19 03 24 25 672       0.58       1.81      -1.37    -290.60     -20.60       4.20       6.45     14883.00
2018 04 19 03 25 21 376       0.57       1.79      -1.36    -290.90     -20.70       4.20       6.40     15054.00
2018 04 19 03 25 41 703       0.96       1.07      -1.35    -293.70      15.60      -5.90       6.61     14792.00
2018 04 19 03 26 37 497       1.15       0.59      -1.46    -294.00      15.90      -6.50       6.95     15228.00
2018 04 19 03 27 52 961       1.31      -0.02      -1.23    -292.90      11.90      -5.30       6.93     15296.00
2018 04 19 03 28 22 149       1.11      -0.83      -0.98    -295.10      36.20     -11.40       7.07     14257.00
2018 04 19 03 29 08 295       1.32      -0.72      -0.95    -296.10      41.80     -11.10       7.60     14658.00
2018 04 19 03 30 02 780       1.42      -0.45      -1.23    -296.50      40.80     -10.20       8.25     14281.00
2018 04 19 03 30 55 907       1.55       0.00      -1.25    -297.00      41.50      -8.40       8.56     13387.00
2018 04 19 03 31 51 794       1.53       0.11      -1.19    -297.30      41.90      -8.10       8.40     12858.00
2018 04 19 03 32 58 653       1.49       0.08      -1.15    -296.80      41.40      -9.00       8.18     13084.00
2018 04 19 03 33 50 425       1.76       0.21      -1.30    -297.40      43.20     -10.00       7.97     13505.00
2018 04 19 03 34 39 505       1.96       0.30      -1.44    -298.20      41.90      -9.00       8.10     12977.00
