Sym-H and AL  obtained from Kyoto WDC for SWPC Event 3.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2001 08 31 00 52 00 000  -12.00   -69.00
2001 08 31 00 53 00 000  -11.00   -75.00
2001 08 31 00 54 00 000  -11.00   -75.00
2001 08 31 00 55 00 000  -11.00   -76.00
2001 08 31 00 56 00 000  -11.00   -81.00
2001 08 31 00 57 00 000  -11.00   -80.00
2001 08 31 00 58 00 000  -11.00   -84.00
2001 08 31 00 59 00 000  -10.00   -91.00
2001 08 31 01 00 00 000  -11.00   -99.00
2001 08 31 01 01 00 000  -10.00  -104.00
2001 08 31 01 02 00 000  -10.00  -107.00
2001 08 31 01 03 00 000  -10.00  -108.00
2001 08 31 01 04 00 000  -10.00  -114.00
2001 08 31 01 05 00 000  -10.00  -114.00
2001 08 31 01 06 00 000  -10.00  -113.00
2001 08 31 01 07 00 000  -11.00  -122.00
2001 08 31 01 08 00 000  -11.00  -130.00
2001 08 31 01 09 00 000  -11.00  -133.00
2001 08 31 01 10 00 000  -11.00  -129.00
2001 08 31 01 11 00 000  -11.00  -127.00
2001 08 31 01 12 00 000  -12.00  -126.00
2001 08 31 01 13 00 000  -12.00  -136.00
2001 08 31 01 14 00 000  -12.00  -136.00
2001 08 31 01 15 00 000  -12.00  -130.00
2001 08 31 01 16 00 000  -12.00  -125.00
2001 08 31 01 17 00 000  -12.00  -116.00
2001 08 31 01 18 00 000  -13.00  -115.00
2001 08 31 01 19 00 000  -13.00  -131.00
2001 08 31 01 20 00 000  -12.00  -139.00
2001 08 31 01 21 00 000  -13.00  -144.00
2001 08 31 01 22 00 000  -12.00  -152.00
2001 08 31 01 23 00 000  -12.00  -153.00
2001 08 31 01 24 00 000  -12.00  -154.00
2001 08 31 01 25 00 000  -12.00  -153.00
2001 08 31 01 26 00 000  -11.00  -156.00
2001 08 31 01 27 00 000  -11.00  -160.00
2001 08 31 01 28 00 000  -11.00  -165.00
2001 08 31 01 29 00 000  -10.00  -166.00
2001 08 31 01 30 00 000  -11.00  -167.00
2001 08 31 01 31 00 000  -10.00  -170.00
2001 08 31 01 32 00 000  -10.00  -163.00
2001 08 31 01 33 00 000  -10.00  -160.00
2001 08 31 01 34 00 000  -10.00  -157.00
2001 08 31 01 35 00 000  -10.00  -154.00
