Sym-H and AL  obtained from Kyoto WDC for SWPC Event 5.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2010 04 05 02 53 00 000  -17.00   -67.00
2010 04 05 02 54 00 000  -17.00   -66.00
2010 04 05 02 55 00 000  -16.00   -72.00
2010 04 05 02 56 00 000  -16.00   -89.00
2010 04 05 02 57 00 000  -15.00   -96.00
2010 04 05 02 58 00 000  -15.00   -96.00
2010 04 05 02 59 00 000  -15.00   -87.00
2010 04 05 03 00 00 000  -14.00   -85.00
2010 04 05 03 01 00 000  -14.00   -84.00
2010 04 05 03 02 00 000  -14.00   -83.00
2010 04 05 03 03 00 000  -14.00   -79.00
2010 04 05 03 04 00 000  -14.00   -71.00
2010 04 05 03 05 00 000  -13.00   -64.00
2010 04 05 03 06 00 000  -13.00   -59.00
2010 04 05 03 07 00 000  -13.00   -50.00
2010 04 05 03 08 00 000  -13.00   -44.00
2010 04 05 03 09 00 000  -13.00   -37.00
2010 04 05 03 10 00 000  -13.00   -30.00
2010 04 05 03 11 00 000  -13.00   -28.00
2010 04 05 03 12 00 000  -14.00   -24.00
2010 04 05 03 13 00 000  -14.00   -26.00
2010 04 05 03 14 00 000  -14.00   -17.00
2010 04 05 03 15 00 000  -14.00   -20.00
2010 04 05 03 16 00 000  -15.00   -22.00
2010 04 05 03 17 00 000  -15.00   -30.00
2010 04 05 03 18 00 000  -15.00   -34.00
2010 04 05 03 19 00 000  -16.00   -41.00
2010 04 05 03 20 00 000  -16.00   -43.00
2010 04 05 03 21 00 000  -16.00   -42.00
2010 04 05 03 22 00 000  -17.00   -34.00
2010 04 05 03 23 00 000  -17.00   -32.00
2010 04 05 03 24 00 000  -18.00   -42.00
2010 04 05 03 25 00 000  -18.00   -36.00
2010 04 05 03 26 00 000  -18.00   -51.00
2010 04 05 03 27 00 000  -17.00   -45.00
2010 04 05 03 28 00 000  -17.00   -53.00
2010 04 05 03 29 00 000  -17.00   -55.00
2010 04 05 03 30 00 000  -17.00   -53.00
2010 04 05 03 31 00 000  -17.00   -47.00
2010 04 05 03 32 00 000  -17.00   -49.00
2010 04 05 03 33 00 000  -17.00   -51.00
2010 04 05 03 34 00 000  -17.00   -64.00
2010 04 05 03 35 00 000  -16.00   -72.00
2010 04 05 03 36 00 000  -16.00   -79.00
2010 04 05 03 37 00 000  -15.00   -81.00
2010 04 05 03 38 00 000  -15.00   -94.00
2010 04 05 03 39 00 000  -14.00  -106.00
2010 04 05 03 40 00 000  -14.00  -108.00
2010 04 05 03 41 00 000  -14.00   -97.00
2010 04 05 03 42 00 000  -14.00   -85.00
2010 04 05 03 43 00 000  -14.00   -73.00
2010 04 05 03 44 00 000  -13.00   -65.00
2010 04 05 03 45 00 000  -13.00   -64.00
2010 04 05 03 46 00 000  -13.00   -55.00
2010 04 05 03 47 00 000  -14.00   -45.00
2010 04 05 03 48 00 000  -14.00   -37.00
2010 04 05 03 49 00 000  -14.00   -34.00
2010 04 05 03 50 00 000  -14.00   -29.00
2010 04 05 03 51 00 000  -14.00   -24.00
2010 04 05 03 52 00 000  -15.00   -15.00
2010 04 05 03 53 00 000  -16.00   -11.00
2010 04 05 03 54 00 000  -16.00   -12.00
2010 04 05 03 55 00 000  -16.00   -12.00
2010 04 05 03 56 00 000  -16.00   -21.00
2010 04 05 03 57 00 000  -17.00   -20.00
2010 04 05 03 58 00 000  -17.00   -17.00
2010 04 05 03 59 00 000  -17.00   -21.00
2010 04 05 04 00 00 000  -18.00   -29.00
2010 04 05 04 01 00 000  -18.00   -39.00
2010 04 05 04 02 00 000  -18.00   -46.00
2010 04 05 04 03 00 000  -17.00   -44.00
2010 04 05 04 04 00 000  -17.00   -43.00
2010 04 05 04 05 00 000  -17.00   -40.00
2010 04 05 04 06 00 000  -17.00   -40.00
2010 04 05 04 07 00 000  -17.00   -38.00
2010 04 05 04 08 00 000  -17.00   -36.00
2010 04 05 04 09 00 000  -16.00   -34.00
2010 04 05 04 10 00 000  -16.00   -33.00
2010 04 05 04 11 00 000  -16.00   -33.00
