Sym-H and AL  obtained from Kyoto WDC for SWPC Event 7.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
1998 07 07 04 14 00 000  -28.00   -56.00
1998 07 07 04 15 00 000  -29.00   -57.00
1998 07 07 04 16 00 000  -29.00   -55.00
1998 07 07 04 17 00 000  -29.00   -55.00
1998 07 07 04 18 00 000  -29.00   -53.00
1998 07 07 04 19 00 000  -29.00   -53.00
1998 07 07 04 20 00 000  -28.00   -54.00
1998 07 07 04 21 00 000  -28.00   -52.00
1998 07 07 04 22 00 000  -28.00   -55.00
1998 07 07 04 23 00 000  -28.00   -54.00
1998 07 07 04 24 00 000  -28.00   -53.00
1998 07 07 04 25 00 000  -28.00   -54.00
1998 07 07 04 26 00 000  -28.00   -54.00
1998 07 07 04 27 00 000  -27.00   -57.00
1998 07 07 04 28 00 000  -27.00   -56.00
1998 07 07 04 29 00 000  -27.00   -54.00
1998 07 07 04 30 00 000  -27.00   -55.00
1998 07 07 04 31 00 000  -27.00   -54.00
1998 07 07 04 32 00 000  -27.00   -55.00
1998 07 07 04 33 00 000  -27.00   -56.00
1998 07 07 04 34 00 000  -27.00   -57.00
1998 07 07 04 35 00 000  -27.00   -57.00
1998 07 07 04 36 00 000  -27.00   -61.00
1998 07 07 04 37 00 000  -27.00   -61.00
1998 07 07 04 38 00 000  -27.00   -58.00
1998 07 07 04 39 00 000  -27.00   -52.00
1998 07 07 04 40 00 000  -27.00   -49.00
1998 07 07 04 41 00 000  -27.00   -49.00
1998 07 07 04 42 00 000  -27.00   -50.00
1998 07 07 04 43 00 000  -27.00   -53.00
1998 07 07 04 44 00 000  -27.00   -52.00
1998 07 07 04 45 00 000  -27.00   -47.00
1998 07 07 04 46 00 000  -27.00   -49.00
1998 07 07 04 47 00 000  -26.00   -48.00
1998 07 07 04 48 00 000  -26.00   -48.00
1998 07 07 04 49 00 000  -27.00   -45.00
1998 07 07 04 50 00 000  -26.00   -43.00
1998 07 07 04 51 00 000  -26.00   -45.00
1998 07 07 04 52 00 000  -26.00   -51.00
1998 07 07 04 53 00 000  -26.00   -46.00
1998 07 07 04 54 00 000  -26.00   -39.00
1998 07 07 04 55 00 000  -25.00   -38.00
1998 07 07 04 56 00 000  -26.00   -44.00
1998 07 07 04 57 00 000  -26.00   -43.00
1998 07 07 04 58 00 000  -26.00   -42.00
1998 07 07 04 59 00 000  -26.00   -44.00
1998 07 07 05 00 00 000  -26.00   -42.00
1998 07 07 05 01 00 000  -26.00   -39.00
1998 07 07 05 02 00 000  -26.00   -42.00
1998 07 07 05 03 00 000  -25.00   -45.00
1998 07 07 05 04 00 000  -25.00   -42.00
1998 07 07 05 05 00 000  -25.00   -39.00
1998 07 07 05 06 00 000  -25.00   -40.00
1998 07 07 05 07 00 000  -25.00   -43.00
1998 07 07 05 08 00 000  -25.00   -45.00
1998 07 07 05 09 00 000  -25.00   -47.00
1998 07 07 05 10 00 000  -25.00   -51.00
1998 07 07 05 11 00 000  -25.00   -55.00
1998 07 07 05 12 00 000  -25.00   -48.00
1998 07 07 05 13 00 000  -25.00   -43.00
1998 07 07 05 14 00 000  -25.00   -45.00
1998 07 07 05 15 00 000  -24.00   -48.00
1998 07 07 05 16 00 000  -24.00   -49.00
1998 07 07 05 17 00 000  -24.00   -46.00
1998 07 07 05 18 00 000  -24.00   -44.00
1998 07 07 05 19 00 000  -24.00   -48.00
1998 07 07 05 20 00 000  -24.00   -54.00
1998 07 07 05 21 00 000  -24.00   -51.00
1998 07 07 05 22 00 000  -24.00   -42.00
1998 07 07 05 23 00 000  -23.00   -39.00
1998 07 07 05 24 00 000  -22.00   -50.00
1998 07 07 05 25 00 000  -21.00   -55.00
1998 07 07 05 26 00 000  -20.00   -61.00
1998 07 07 05 27 00 000  -20.00   -56.00
1998 07 07 05 28 00 000  -20.00   -37.00
1998 07 07 05 29 00 000  -20.00   -45.00
1998 07 07 05 30 00 000  -20.00   -43.00
1998 07 07 05 31 00 000  -20.00   -47.00
1998 07 07 05 32 00 000  -20.00   -51.00
1998 07 07 05 33 00 000  -20.00   -50.00
1998 07 07 05 34 00 000  -21.00   -53.00
1998 07 07 05 35 00 000  -22.00   -46.00
1998 07 07 05 36 00 000  -22.00   -47.00
1998 07 07 05 37 00 000  -23.00   -44.00
1998 07 07 05 38 00 000  -23.00   -43.00
1998 07 07 05 39 00 000  -24.00   -37.00
1998 07 07 05 40 00 000  -24.00   -35.00
1998 07 07 05 41 00 000  -24.00   -32.00
1998 07 07 05 42 00 000  -25.00   -34.00
1998 07 07 05 43 00 000  -25.00   -40.00
1998 07 07 05 44 00 000  -25.00   -32.00
1998 07 07 05 45 00 000  -25.00   -31.00
1998 07 07 05 46 00 000  -25.00   -31.00
1998 07 07 05 47 00 000  -25.00   -38.00
1998 07 07 05 48 00 000  -24.00   -40.00
1998 07 07 05 49 00 000  -24.00   -39.00
1998 07 07 05 50 00 000  -23.00   -38.00
1998 07 07 05 51 00 000  -23.00   -34.00
1998 07 07 05 52 00 000  -23.00   -33.00
1998 07 07 05 53 00 000  -23.00   -37.00
1998 07 07 05 54 00 000  -23.00   -39.00
1998 07 07 05 55 00 000  -22.00   -37.00
1998 07 07 05 56 00 000  -23.00   -36.00
1998 07 07 05 57 00 000  -23.00   -37.00
1998 07 07 05 58 00 000  -22.00   -36.00
1998 07 07 05 59 00 000  -22.00   -35.00
1998 07 07 06 00 00 000  -21.00   -34.00
1998 07 07 06 01 00 000  -21.00   -33.00
1998 07 07 06 02 00 000  -21.00   -30.00
