BEGIN METADATA
MAG 16-second Averaged Interplanetary Magnetic Field Data
Data downloaded from ACE Science Center on Fri Sep 16 13:44:58 2022
MAG Team Software Version: 2.0
MAG Team Time/Date Processed: 

ACE Science Center Level2 Software Version: 1.5
ACE Science Center Processing Date/Time: Thu Jul 28 17:16:17 2022 PDT


Note: All timestamps are UT, and refer to the start of the time period.
year,day,hr,min,sec: year, day of year, hour of day, minutes, seconds.
fp_year       : fractional year.
fp_doy        : fractional day-of-year.
ACEepoch      : seconds since Jan 1 00:00:00 UT 1996.
SCclock       : ACE spacecraft clock counter (seconds).
Br            : R-component of mag. field in RTN (nT).
Bt            : T-component of mag. field in RTN (nT).
Bn            : N-component of mag. field in RTN (nT).
Bmag          : <|B|> magnetic field magnitude (nT).
Delta         : RTN latitude.
Lambda        : RTN longitude.
Bgse_x        : X-component of mag. field in GSE (nT).
Bgse_y        : Y-component of mag. field in GSE (nT).
Bgse_z        : Z-component of mag. field in GSE (nT).
Bgsm_x        : X-component of mag. field in GSM (nT).
Bgsm_y        : Y-component of mag. field in GSM (nT).
Bgsm_z        : Z-component of mag. field in GSM (nT).
dBrms         : RMS values of underlying high-resolution measurements (nT).
sigma_B       : Variance of |B|, i.e. sqrt(<(|B|-<|B|>)^2>) (nT).
fraction_good : Fraction of the timing period for which there was data available
N_vectors     : Number of hi-res (16-sec) measurements included in the average.
Quality       : 0 = Normal data.
              : 1 = Spacecraft Maneuver and high-nutation period (~4 hr).
              : 2 = Bad or missing data, (data values set to -999.9)
pos_gse_x,y,z : Components of spacecraft position in GSE (km).
pos_gsm_x,y,z : Components of spacecraft position in GSM (km).
A value of -999.9 indicates bad or missing data.

More Documentation of the ACE MAG level 2 data is at this web site:
http://www.srl.caltech.edu/ACE/ASC/level2/mag_l2desc.html

2018 109  0 35 39.223    2.285    1.938   -1.754
2018 109  0 35 55.223    2.345    1.871   -1.667
2018 109  0 36 11.223    2.564    1.620   -1.662
2018 109  0 36 27.223    2.688    1.598   -1.735
2018 109  0 36 43.223    2.975    1.579   -1.621
2018 109  0 36 59.223    3.108    1.812   -1.438
2018 109  0 37 15.223    3.110    1.532   -1.662
2018 109  0 37 31.223    3.257    1.498   -1.722
2018 109  0 37 47.223    3.239    1.548   -1.696
2018 109  0 38  3.222    3.205    1.547   -1.682
2018 109  0 38 19.222    3.209    1.571   -1.713
2018 109  0 38 35.222    3.129    1.560   -1.732
2018 109  0 38 51.222    3.127    1.494   -1.721
2018 109  0 39  7.222    3.185    1.451   -1.755
2018 109  0 39 23.222    3.190    1.529   -1.657
2018 109  0 39 39.222    3.239    1.456   -1.580
2018 109  0 39 55.222    3.187    1.355   -1.664
2018 109  0 40 11.222    3.282    1.263   -1.674
2018 109  0 40 27.222    3.284    1.194   -1.677
2018 109  0 40 43.222    3.346    1.092   -1.664
2018 109  0 40 59.222    3.367    1.230   -1.721
2018 109  0 41 15.222    3.313    1.129   -1.862
2018 109  0 41 31.222    3.347    0.919   -1.868
2018 109  0 41 47.222    3.244    1.308   -1.554
2018 109  0 42  3.222    3.156    1.643   -1.379
2018 109  0 42 19.222    3.264    1.619   -1.314
2018 109  0 42 35.222    3.276    1.720   -1.212
2018 109  0 42 51.222    3.086    1.791   -1.366
2018 109  0 43  7.222    2.877    1.922   -1.602
2018 109  0 43 23.222    2.906    1.928   -1.578
2018 109  0 43 39.222    2.864    1.923   -1.551
2018 109  0 43 55.222    2.985    1.919   -1.484
2018 109  0 44 11.222    2.946    1.912   -1.453
2018 109  0 44 27.222    2.915    1.957   -1.470
2018 109  0 44 43.222    2.862    2.029   -1.490
2018 109  0 44 59.222    2.843    2.061   -1.441
2018 109  0 45 15.222    2.910    2.040   -1.427
2018 109  0 45 31.222    2.967    2.132   -1.395
2018 109  0 45 47.222    2.880    2.162   -1.366
2018 109  0 46  3.222    2.855    2.178   -1.378
2018 109  0 46 19.222    2.912    2.061   -1.448
2018 109  0 46 35.221    2.975    1.900   -1.501
2018 109  0 46 51.221    3.012    1.921   -1.487
2018 109  0 47  7.221    2.939    2.005   -1.437
2018 109  0 47 23.221    2.832    1.998   -1.429
2018 109  0 47 39.221    2.854    2.068   -1.480
2018 109  0 47 55.221    2.840    2.049   -1.467
