Sym-H and AL  obtained from Kyoto WDC for SWPC Event 10.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
1999 07 02 03 47 00 000   -5.00   -61.00
1999 07 02 03 48 00 000   -4.00   -65.00
1999 07 02 03 49 00 000   -4.00   -65.00
1999 07 02 03 50 00 000   -4.00   -64.00
1999 07 02 03 51 00 000   -5.00   -65.00
1999 07 02 03 52 00 000   -5.00   -63.00
1999 07 02 03 53 00 000   -4.00   -59.00
1999 07 02 03 54 00 000   -4.00   -56.00
1999 07 02 03 55 00 000   -4.00   -57.00
1999 07 02 03 56 00 000   -4.00   -57.00
1999 07 02 03 57 00 000   -4.00   -54.00
1999 07 02 03 58 00 000   -4.00   -53.00
1999 07 02 03 59 00 000   -5.00   -54.00
1999 07 02 04 00 00 000   -4.00   -55.00
1999 07 02 04 01 00 000   -5.00   -62.00
1999 07 02 04 02 00 000   -6.00   -63.00
1999 07 02 04 03 00 000   -5.00   -63.00
1999 07 02 04 04 00 000   -6.00   -61.00
1999 07 02 04 05 00 000   -6.00   -65.00
1999 07 02 04 06 00 000   -6.00   -62.00
1999 07 02 04 07 00 000   -6.00   -60.00
1999 07 02 04 08 00 000   -5.00   -58.00
1999 07 02 04 09 00 000   -5.00   -62.00
1999 07 02 04 10 00 000   -4.00   -65.00
1999 07 02 04 11 00 000   -4.00   -66.00
1999 07 02 04 12 00 000   -6.00   -70.00
1999 07 02 04 13 00 000   -6.00   -76.00
1999 07 02 04 14 00 000   -5.00   -78.00
1999 07 02 04 15 00 000   -5.00   -78.00
1999 07 02 04 16 00 000   -4.00   -87.00
1999 07 02 04 17 00 000   -4.00   -96.00
1999 07 02 04 18 00 000   -4.00   -96.00
1999 07 02 04 19 00 000   -4.00   -87.00
1999 07 02 04 20 00 000   -4.00   -76.00
1999 07 02 04 21 00 000   -5.00   -70.00
1999 07 02 04 22 00 000   -6.00   -72.00
1999 07 02 04 23 00 000   -5.00   -74.00
1999 07 02 04 24 00 000   -5.00   -72.00
1999 07 02 04 25 00 000   -4.00   -70.00
1999 07 02 04 26 00 000   -4.00   -77.00
1999 07 02 04 27 00 000   -4.00   -85.00
1999 07 02 04 28 00 000   -4.00   -80.00
1999 07 02 04 29 00 000   -4.00   -61.00
1999 07 02 04 30 00 000   -5.00   -52.00
1999 07 02 04 31 00 000   -6.00   -46.00
1999 07 02 04 32 00 000   -6.00   -42.00
1999 07 02 04 33 00 000   -6.00   -38.00
1999 07 02 04 34 00 000   -5.00   -34.00
1999 07 02 04 35 00 000   -5.00   -31.00
1999 07 02 04 36 00 000   -4.00   -29.00
1999 07 02 04 37 00 000   -4.00   -28.00
1999 07 02 04 38 00 000   -5.00   -26.00
1999 07 02 04 39 00 000   -5.00   -26.00
1999 07 02 04 40 00 000   -5.00   -29.00
1999 07 02 04 41 00 000   -4.00   -31.00
1999 07 02 04 42 00 000   -4.00   -30.00
1999 07 02 04 43 00 000   -4.00   -32.00
1999 07 02 04 44 00 000   -2.00   -36.00
1999 07 02 04 45 00 000   -1.00   -36.00
1999 07 02 04 46 00 000   -2.00   -36.00
1999 07 02 04 47 00 000   -2.00   -42.00
1999 07 02 04 48 00 000   -2.00   -47.00
1999 07 02 04 49 00 000   -2.00   -55.00
1999 07 02 04 50 00 000   -2.00   -70.00
1999 07 02 04 51 00 000   -2.00   -77.00
1999 07 02 04 52 00 000   -2.00   -71.00
1999 07 02 04 53 00 000   -2.00   -59.00
1999 07 02 04 54 00 000   -2.00   -60.00
1999 07 02 04 55 00 000   -2.00   -55.00
1999 07 02 04 56 00 000    0.00   -39.00
1999 07 02 04 57 00 000    2.00   -37.00
1999 07 02 04 58 00 000    3.00   -35.00
1999 07 02 04 59 00 000    3.00   -32.00
1999 07 02 05 00 00 000    3.00   -35.00
1999 07 02 05 01 00 000    3.00   -39.00
1999 07 02 05 02 00 000    4.00   -49.00
1999 07 02 05 03 00 000    4.00   -56.00
1999 07 02 05 04 00 000    5.00   -58.00
1999 07 02 05 05 00 000    5.00   -70.00
1999 07 02 05 06 00 000    6.00   -83.00
1999 07 02 05 07 00 000    6.00   -95.00
1999 07 02 05 08 00 000    6.00  -111.00
1999 07 02 05 09 00 000    7.00  -116.00
1999 07 02 05 10 00 000    7.00  -126.00
1999 07 02 05 11 00 000    8.00  -145.00
1999 07 02 05 12 00 000    8.00  -157.00
1999 07 02 05 13 00 000    8.00  -165.00
1999 07 02 05 14 00 000    8.00  -174.00
1999 07 02 05 15 00 000    8.00  -187.00
1999 07 02 05 16 00 000    8.00  -185.00
1999 07 02 05 17 00 000    8.00  -189.00
1999 07 02 05 18 00 000    8.00  -192.00
1999 07 02 05 19 00 000    8.00  -195.00
1999 07 02 05 20 00 000    7.00  -204.00
1999 07 02 05 21 00 000    6.00  -196.00
1999 07 02 05 22 00 000    4.00  -193.00
1999 07 02 05 23 00 000    3.00  -194.00
1999 07 02 05 24 00 000    2.00  -201.00
1999 07 02 05 25 00 000    2.00  -207.00
1999 07 02 05 26 00 000    2.00  -229.00
1999 07 02 05 27 00 000    2.00  -267.00
1999 07 02 05 28 00 000    2.00  -275.00
1999 07 02 05 29 00 000    2.00  -287.00
1999 07 02 05 30 00 000    2.00  -320.00
1999 07 02 05 31 00 000    1.00  -351.00
1999 07 02 05 32 00 000   -1.00  -357.00
1999 07 02 05 33 00 000   -2.00  -378.00
1999 07 02 05 34 00 000    0.00  -386.00
